#{"t_start": 1780669971.696183}
r,l,t
-111493.0,8,177.299921
-147439.0,9,345.492511
-83360.0,7,510.336156
-116662.0,8,666.250119
-85243.0,6,803.675867
-96249.0,8,970.6121
-52289.0,7,1122.14585
-82951.0,6,1259.692423
-118130.0,6,1396.240416
-125088.0,6,1542.766355
-122429.0,6,1690.131751
-99127.0,7,1835.012157
-108032.0,8,2017.656233
-102705.0,10,2237.715716
-114400.0,9,2428.09645
-88295.0,8,2614.825552
-110333.0,8,2795.756485
-107964.0,9,3021.089404
-82726.0,8,3220.443706
-99491.0,6,3345.788129
-148073.0,9,3537.901847
-178299.0,9,3727.590215
-56601.0,6,3863.180321
-137790.0,9,4056.669616
-77939.0,8,4218.405288
-159136.0,9,4401.795871
-101550.0,10,4564.754785
-112394.0,6,4705.657284
-79315.0,7,4876.410133
-137659.0,9,5005.119641
-125965.0,8,5185.183332
-109100.0,12,5388.663849
-63090.0,13,5572.414165
-97447.0,13,5796.894079
-100267.0,10,5989.882177
-72543.0,8,6150.640054
-76016.0,11,6313.241697
-69114.0,8,6460.007703
-133207.0,12,6685.255407
-72870.0,8,6837.179356
-88836.0,9,7000.27283
-104108.0,7,7136.369128
-70336.0,8,7287.799773
-55132.0,12,7491.456564
-109989.0,9,7685.251391
-76100.0,11,7883.632924
-94572.0,9,8061.796719
-78805.0,8,8239.954637
-65461.0,10,8376.452235
-109398.0,8,8545.99693
-75961.0,9,8696.912284
-78528.0,10,8863.200558
-91994.0,12,9019.32934
-101244.0,8,9162.942629
-100238.0,13,9315.42751
-80429.0,12,9470.406212
-83719.0,13,9592.996811
-156619.0,8,9743.854119
-107237.0,10,9874.166676
-100277.0,14,10038.088551
-107815.0,12,10186.748012
-73368.0,12,10292.465595
-104458.0,9,10427.524366
-85209.0,13,10568.942528
-66266.0,14,10740.07574
-122692.0,12,10884.624815
-93996.0,9,11087.547451
-81593.0,13,11230.412071
-89935.0,16,11371.895264
-121520.0,8,11519.716079
-85554.0,11,11641.691457
-92345.0,12,11767.166337
-88211.0,20,11885.850111
-67089.0,14,12037.24942
-92539.0,11,12188.540307
-61886.0,16,12305.756692
-102849.0,13,12463.731317
-84626.0,15,12611.714422
-82536.0,16,12770.109601
-92239.0,17,12896.758817
-83582.0,16,13025.589686
-76468.0,12,13158.303496
-83779.0,18,13299.961082
-86241.0,13,13437.479405
-73231.0,21,13589.262922
-111790.0,17,13740.622621
-113316.0,12,13876.229548
-75909.0,20,13997.439928
-71258.0,12,14119.901456
-78093.0,12,14263.223631
-79845.0,14,14412.452995
-93151.0,16,14559.860005
-78127.0,19,14710.449446
-91178.0,21,14855.023684
-58323.0,24,14975.593468
-69007.0,16,15099.762335
-66658.0,20,15220.410197
-67489.0,20,15329.704829
-67185.0,24,15440.255303
-71359.0,28,15571.352634
-56052.0,20,15680.911808
-56907.0,20,15797.918396
-79524.0,20,15911.711129
-72370.0,24,16034.688524
-60372.0,24,16155.841146
-56900.0,28,16263.861595
-53352.0,26,16384.448878
-87391.0,20,16527.406167
-57125.0,24,16653.083051
-87896.0,20,16825.653061
-59235.0,24,17099.169971
-60126.0,28,17407.732576
-70402.0,24,17732.790361
-60025.0,20,17922.609013
-58705.0,27,18107.636448
-56379.0,21,18273.928767
-60341.0,24,18434.221545
-56939.0,28,18581.632686
-69246.0,20,18745.05392
-55215.0,28,18867.253739
-77395.0,23,19021.869788
-55658.0,28,19165.665033
-59882.0,20,19305.904854
-55194.0,28,19435.89102
-58172.0,22,19584.055072
-53720.0,28,19719.969144
-58518.0,28,19861.701218
-67355.0,24,19989.812505
