#{"t_start": 1780669971.6929088}
r,l,t
-81932.0,7,131.559026
-145629.0,9,307.229085
-109190.0,8,495.980334
-63223.0,6,629.158398
-184111.0,9,816.721301
-150211.0,6,948.595406
-79282.0,6,1050.237765
-80555.0,7,1215.779155
-93486.0,8,1408.009823
-90381.0,8,1588.137314
-87079.0,8,1765.765343
-114969.0,7,1924.029058
-77249.0,6,2071.930968
-69988.0,6,2196.720628
-61123.0,6,2321.012098
-78793.0,8,2487.585359
-174103.0,7,2655.609481
-77857.0,6,2807.626391
-125655.0,6,2960.435935
-140465.0,6,3109.195117
-121753.0,9,3291.393305
-138567.0,8,3474.159817
-114911.0,6,3617.789793
-88617.0,10,3829.529642
-90885.0,10,4040.686746
-116315.0,9,4230.529331
-88678.0,8,4394.622478
-103219.0,8,4532.547916
-79660.0,9,4717.215689
-67290.0,8,4900.102311
-117163.0,11,5075.474602
-90832.0,7,5236.153067
-102564.0,9,5369.385868
-144326.0,11,5508.328902
-156812.0,9,5684.46025
-120234.0,8,5825.227063
-95000.0,7,5948.909081
-107446.0,8,6124.23012
-109977.0,7,6238.926649
-121384.0,11,6406.035253
-82426.0,9,6566.13734
-132272.0,7,6718.072684
-80080.0,9,6876.364869
-219849.0,8,7032.992522
-117785.0,11,7219.831457
-151995.0,8,7367.95339
-114308.0,7,7503.457872
-138039.0,7,7638.442131
-119680.0,6,7759.495767
-87420.0,7,7895.900139
-85551.0,9,8071.906486
-77345.0,9,8256.249965
-102182.0,12,8431.974234
-93295.0,11,8631.401732
-172126.0,7,8794.741684
-80080.0,12,8951.656326
-58088.0,9,9094.976448
-107158.0,15,9281.809726
-66365.0,12,9430.995439
-95477.0,12,9567.390613
-65088.0,8,9701.023549
-70394.0,12,9851.973655
-104553.0,12,9982.394325
-115380.0,15,10159.204179
-94739.0,15,10311.388204
-86856.0,10,10456.545188
-117615.0,12,10604.178993
-63686.0,11,10721.076556
-92452.0,12,10871.505507
-58907.0,7,11014.622724
-67402.0,8,11170.767772
-58136.0,16,11310.759079
-86674.0,11,11428.015712
-68537.0,12,11590.74517
-101703.0,12,11711.217637
-60677.0,20,11851.420977
-89254.0,12,11968.736775
-84936.0,12,12119.230309
-73035.0,18,12282.904056
-81794.0,12,12418.538214
-58541.0,12,12516.500228
-100566.0,12,12679.127393
-70486.0,16,12806.69467
-72199.0,17,12948.556728
-77940.0,17,13071.981171
-58302.0,12,13199.989368
-102594.0,16,13329.498555
-88315.0,9,13448.814249
-59518.0,20,13586.151683
-80075.0,12,13702.691581
-55646.0,13,13810.828672
-90077.0,16,13944.925593
-51860.0,16,14043.92183
-106388.0,11,14189.056781
-81993.0,12,14327.461511
-71603.0,14,14464.572645
-102886.0,16,14608.809296
-84231.0,14,14743.92452
-70164.0,23,14871.943763
-80187.0,24,14994.245825
-67308.0,18,15127.378093
-67416.0,17,15234.831733
-58759.0,24,15354.571441
-59029.0,20,15450.616685
-69466.0,24,15552.271425
-69248.0,20,15672.059782
-84338.0,20,15789.354221
-72376.0,20,15886.785422
-87149.0,20,16010.70043
-55568.0,20,16107.57913
-55037.0,28,16224.992393
-54837.0,28,16342.499669
-54607.0,16,16433.691772
-65220.0,16,16548.1486
-60196.0,17,16639.240857
-80513.0,16,16740.804455
-67795.0,8,16842.693648
-74480.0,11,16954.200933
-77946.0,8,17047.077274
-86263.0,7,17145.473075
-52688.0,7,17223.606341
-100158.0,12,17346.871388
-132562.0,9,17446.049886
-154597.0,9,17569.717742
-130488.0,8,17691.914027
-206612.0,9,17792.404541
-176828.0,13,17907.104747
-541728.0,19,18030.361838
-291585.0,16,18165.469761
-429203.0,22,18328.382579
-787986.0,24,18483.316776
-838071.0,29,18642.920862
-462764.0,24,18795.60764
-1205006.0,34,18974.652735
-1118470.0,29,19147.256984
-526989.0,24,19310.426074
-1276794.0,34,19470.564067
-677539.0,29,19644.365441
-1256717.0,34,19809.96137
-647763.0,24,19950.139282
-658994.0,29,20117.399673
-892712.0,29,20286.81792
-1252933.0,34,20447.584918
-1265063.0,34,20610.725038
-457516.0,25,20773.892507
-804747.0,24,20970.747543
-1056891.0,32,21147.852095
-629477.0,29,21315.359916
-1267522.0,34,21482.228588
-748986.0,29,21654.826041
-535083.0,24,21811.217817
-1238733.0,34,21982.191751
-1227465.0,34,22145.650236
-635382.0,24,22306.52236
-727699.0,24,22445.276307
-1245452.0,34,22604.268919
-720411.0,29,22762.102552
-1239396.0,34,22931.328794
-916991.0,29,23087.722651
-1268872.0,34,23252.567826
-1259716.0,34,23442.74978
-1256122.0,34,23606.050281
-753891.0,29,23773.334378
-953455.0,29,23941.599411
-777889.0,33,24117.05927
-721790.0,29,24276.25894
-1116795.0,33,24453.465355
-673414.0,24,24610.863044
-830172.0,24,24752.342155
-1249798.0,34,24933.844994
-673437.0,29,25093.544499
-947221.0,29,25247.043417
-847665.0,33,25434.987477
-1188942.0,34,25613.115113
-799258.0,29,25764.216485
-897924.0,30,25933.279884
-1003548.0,32,26107.899705
-1298306.0,34,26287.869938
-839941.0,28,26444.34746
-654786.0,24,26624.865765
-658424.0,29,26793.610718
-940721.0,24,26953.711961
-1208713.0,29,27120.739791
-961821.0,29,27288.471375
-1118474.0,29,27455.179852
-1252372.0,34,27637.658674
-366773.0,20,27771.292618
-544990.0,28,27943.660058
-1271291.0,34,28119.87
-1250311.0,34,28285.013558
-1253395.0,34,28449.045408
-988715.0,32,28620.574684
-1272531.0,34,28803.206562
-1250727.0,34,28988.930674
-547434.0,24,29149.336368
-1204923.0,29,29302.114407
-666073.0,29,29457.887387
-1229822.0,29,29616.216168
-1037773.0,32,29779.700799
-1257241.0,34,29965.301075
-1249575.0,34,30137.341336
-981048.0,29,30309.149263
-551635.0,26,30476.641636
-1262085.0,34,30660.214093
