#{"t_start": 1780669971.6951847}
r,l,t
-124165.0,8,167.705478
-80135.0,8,321.767928
-108681.0,7,477.094309
-76025.0,9,663.989798
-83626.0,6,794.232238
-108545.0,9,985.911806
-179767.0,9,1172.011303
-101344.0,8,1362.212707
-74101.0,6,1512.713912
-89649.0,7,1678.935062
-76476.0,8,1853.7021
-112678.0,8,2042.220555
-95948.0,9,2226.863645
-119137.0,9,2417.792272
-123044.0,7,2575.692068
-79186.0,8,2768.008178
-88156.0,6,2919.879078
-141062.0,8,3124.410335
-129487.0,9,3309.956546
-102442.0,9,3515.125454
-149372.0,7,3666.086306
-110055.0,8,3842.270715
-147419.0,9,4018.904485
-156118.0,8,4187.218634
-127976.0,9,4375.832983
-118042.0,9,4534.433332
-124426.0,8,4694.573646
-97451.0,6,4835.743974
-166481.0,9,4973.122452
-147755.0,8,5146.71031
-71644.0,7,5283.298192
-105016.0,9,5439.676814
-83399.0,12,5599.534065
-70404.0,8,5729.034789
-90537.0,8,5881.61162
-85960.0,7,6030.1796
-69798.0,8,6178.976182
-106551.0,12,6354.936486
-105968.0,9,6512.91592
-86269.0,7,6652.235217
-64378.0,8,6824.03279
-88066.0,13,7057.377955
-113584.0,11,7253.114344
-95920.0,12,7468.390075
-62215.0,8,7616.677172
-80806.0,10,7809.050059
-102588.0,8,7973.487721
-116830.0,7,8133.099455
-83143.0,8,8284.950844
-69794.0,11,8445.823259
-61546.0,6,8580.269357
-79274.0,11,8775.989679
-130713.0,11,8942.198261
-89934.0,13,9132.076025
-106093.0,12,9268.501699
-62188.0,10,9396.00167
-103452.0,12,9536.542747
-63314.0,10,9682.688864
-88842.0,12,9840.020948
-113687.0,16,10028.90802
-93832.0,12,10176.878448
-79576.0,12,10291.025513
-140318.0,12,10446.091784
-92721.0,12,10590.913876
-79180.0,12,10732.425538
-108273.0,14,10905.511778
-143355.0,6,11053.107774
-80995.0,9,11194.060271
-57016.0,16,11322.224619
-91196.0,11,11477.944397
-88022.0,13,11633.155437
-67063.0,16,11783.948133
-63670.0,16,11884.24491
-87848.0,16,12056.271927
-103670.0,13,12217.328157
-75621.0,18,12373.748357
-61532.0,16,12529.155518
-67088.0,9,12662.143692
-70103.0,15,12791.311351
-80256.0,16,12901.687467
-81809.0,16,13031.01478
-108041.0,12,13163.742161
-87996.0,16,13278.794217
-88255.0,17,13458.076466
-64611.0,16,13577.772794
-64580.0,13,13698.053085
-72738.0,15,13842.175377
-62221.0,20,13983.14441
-81690.0,14,14105.425452
-83336.0,15,14284.42607
-107940.0,14,14438.729813
-94265.0,14,14557.957995
-77652.0,19,14703.525297
-77511.0,16,14832.338555
-62485.0,21,14940.191195
-68859.0,20,15066.208368
-75541.0,23,15208.557493
-66702.0,24,15342.005001
-54115.0,24,15452.654687
-52599.0,24,15554.307361
-69446.0,20,15674.442596
-66622.0,20,15791.335074
-54475.0,20,15898.771874
-58193.0,24,16029.163892
-80026.0,20,16137.303452
-53498.0,28,16242.191854
-54215.0,28,16363.078898
-67102.0,19,16495.398512
-58574.0,28,16651.685479
-57205.0,20,16824.304328
-65230.0,24,17097.834623
-65680.0,24,17372.573335
-60003.0,28,17731.52538
-61211.0,28,17974.774745
-69439.0,23,18141.367756
-56607.0,24,18312.516692
-64299.0,24,18478.614032
-60663.0,24,18615.703835
-78781.0,20,18758.41093
-55514.0,28,18884.126051
-54252.0,20,19014.833856
-56568.0,28,19164.471733
-72126.0,20,19304.495244
-56076.0,28,19434.710671
-66589.0,22,19577.477835
-54125.0,28,19718.786942
-59693.0,26,19850.277544
-51512.0,24,19979.162555
-64601.0,24,20125.034672
-54643.0,24,20267.231202
-54770.0,28,20402.707841
-56075.0,28,20531.220781
-55234.0,28,20663.5187
-57877.0,14,20802.960011
-62946.0,24,20983.87032
-56655.0,28,21122.607802
-64401.0,24,21267.273618
-57244.0,28,21400.795902
-54928.0,28,21538.805754
-69557.0,24,21690.803079
-81061.0,20,21832.287573
-56538.0,28,21976.039563
-57511.0,28,22109.74244
-70235.0,24,22257.517931
-59761.0,21,22391.630081
-54679.0,28,22518.849588
-55697.0,28,22656.742579
-59986.0,28,22812.638732
-55471.0,28,22960.878614
-67216.0,24,23091.368415
-56701.0,28,23217.416429
-57960.0,24,23344.653821
-55687.0,28,23486.210146
-54258.0,28,23626.844517
-74410.0,23,23780.794933
-68948.0,24,23912.18694
-62636.0,24,24052.712453
-53903.0,28,24175.335882
-63744.0,24,24313.994738
-50161.0,24,24459.912679
-56516.0,24,24612.537006
-60240.0,24,24755.875225
-71719.0,24,24878.858605
-60666.0,27,25026.929744
-54126.0,28,25159.334053
-55967.0,24,25306.367748
-69945.0,24,25446.927947
-70523.0,24,25575.930125
-55248.0,28,25714.818683
-63082.0,24,25841.207629
-59596.0,24,25979.100883
-56273.0,28,26133.773912
-58139.0,24,26261.744884
-60243.0,28,26409.156834
-72492.0,16,26541.094112
-72906.0,24,26690.228098
-82530.0,22,26836.08706
-70228.0,24,26974.439503
-63084.0,24,27116.134019
-67774.0,24,27258.117855
