#{"t_start": 1780669971.6939116}
r,l,t
-88337.0,6,112.82429
-82384.0,7,250.140177
-220021.0,9,436.235756
-117837.0,7,603.367808
-80286.0,8,763.861394
-91884.0,8,950.051188
-66789.0,8,1103.529536
-89177.0,8,1279.317441
-64302.0,8,1475.930035
-64478.0,7,1642.64258
-73710.0,8,1818.90075
-69096.0,6,1955.14213
-104332.0,8,2131.088717
-89821.0,7,2282.170672
-141908.0,8,2458.035127
-75079.0,6,2603.980489
-72511.0,7,2758.914885
-85220.0,6,2909.514173
-105483.0,6,3067.544694
-81081.0,6,3204.231257
-138999.0,8,3379.624722
-90875.0,8,3554.748502
-150364.0,9,3736.362512
-121889.0,8,3915.478086
-128651.0,7,4072.032403
-99498.0,7,4207.741523
-117803.0,7,4344.496813
-133764.0,8,4487.710005
-96869.0,11,4726.164382
-80655.0,7,4890.380924
-84451.0,10,5047.12215
-103354.0,9,5246.399226
-164874.0,12,5430.159542
-108615.0,11,5584.634447
-221864.0,9,5720.212625
-112634.0,12,5958.093818
-85571.0,7,6099.8179
-184297.0,13,6297.393169
-221062.0,9,6474.029115
-49612.0,8,6614.264302
-101639.0,9,6792.539703
-146237.0,9,6950.138284
-174286.0,9,7121.254678
-150966.0,8,7276.809806
-103309.0,7,7402.766584
-66670.0,6,7512.59226
-124361.0,8,7672.009253
-101769.0,10,7844.661314
-139002.0,7,7992.793533
-77384.0,6,8121.334469
-127519.0,8,8282.932205
-146089.0,8,8386.87324
-79846.0,7,8528.839104
-95073.0,8,8662.360943
-108105.0,9,8828.631528
-144912.0,12,8979.66745
-136952.0,8,9130.158344
-88115.0,12,9266.759713
-114523.0,12,9413.06778
-78932.0,12,9557.429756
-141981.0,11,9724.843221
-86550.0,12,9884.727098
-108303.0,12,10010.111285
-117194.0,13,10167.758894
-82235.0,17,10346.329333
-134861.0,17,10559.326403
-78017.0,12,10703.191976
-69256.0,12,10852.727315
-90509.0,8,10990.117135
-97892.0,8,11154.724538
-76962.0,12,11286.129491
-81600.0,15,11411.089669
-108750.0,10,11566.681602
-82470.0,16,11742.425954
-79372.0,25,11918.864989
-98913.0,11,12027.691266
-119711.0,12,12193.59675
-64148.0,16,12318.113414
-88831.0,12,12453.116366
-103099.0,12,12576.001259
-82718.0,12,12709.136458
-90667.0,16,12833.905417
-80083.0,16,12969.650723
-83881.0,16,13089.05092
-72612.0,21,13270.836183
-64517.0,13,13401.689284
-81953.0,16,13520.915743
-81746.0,12,13648.930055
-106940.0,18,13795.532751
-90725.0,15,13932.19941
-72012.0,18,14051.061719
-85343.0,11,14198.342551
-99227.0,12,14336.313953
-84435.0,15,14482.436136
-71077.0,16,14621.163897
-68997.0,12,14728.462368
-70805.0,16,14837.715556
-62016.0,24,14958.086474
-78078.0,16,15064.785736
-60493.0,16,15169.730727
-71076.0,20,15291.972298
-53193.0,28,15406.510249
-55499.0,28,15528.053627
-70040.0,16,15629.52711
-61836.0,23,15758.908659
-51041.0,24,15892.296566
-61043.0,20,16012.067981
-56968.0,20,16114.051415
-54464.0,28,16226.128758
-61976.0,20,16309.019009
-56230.0,17,16400.421143
-74245.0,16,16516.28304
-51141.0,20,16609.19588
-64566.0,18,16723.88341
-47810.0,8,16817.892462
-68264.0,8,16891.869732
-89690.0,7,16981.347611
-75998.0,7,17070.591844
-74217.0,8,17176.509296
-90406.0,11,17289.998906
-104740.0,8,17389.638311
-119168.0,11,17506.501714
-72163.0,6,17591.635145
-137009.0,7,17705.48555
-270841.0,13,17822.091262
-343233.0,15,17958.993374
-671656.0,24,18118.161563
-321200.0,19,18262.416978
-591258.0,24,18431.689625
-1025938.0,29,18586.993349
-399281.0,19,18731.315094
-1255169.0,34,18899.811777
-667646.0,24,19052.907451
-700985.0,27,19205.463576
-1097045.0,29,19373.292825
-1110538.0,33,19544.651161
-1177460.0,29,19712.416609
-1228338.0,34,19885.275389
-1217447.0,34,20064.44314
-839302.0,25,20226.111696
-1255567.0,34,20401.567586
-1258036.0,34,20565.232977
-1057906.0,33,20749.123845
-912987.0,25,20947.52422
-1285089.0,29,21115.315951
-1172900.0,29,21299.501334
-1263271.0,34,21463.510238
-1068057.0,32,21641.108979
-348418.0,24,21804.800674
-1228848.0,34,21974.866402
-850751.0,29,22116.839238
-698260.0,29,22301.51818
-966906.0,29,22464.906779
-1268872.0,34,22626.956183
-852861.0,29,22785.541657
-1263506.0,34,22955.142049
-1061516.0,29,23111.063439
-1219035.0,34,23273.501178
-1225428.0,29,23436.88603
-1240801.0,34,23600.162194
-778197.0,29,23757.347004
-1330405.0,34,23963.036412
-744413.0,24,24096.41914
-768131.0,29,24250.945313
-1255213.0,34,24418.491786
-325380.0,24,24589.419712
-795144.0,29,24763.770197
-1157858.0,29,24915.137625
-698758.0,29,25075.946977
-803038.0,29,25227.338172
-565047.0,24,25362.13409
-1193495.0,34,25548.42399
-1268087.0,34,25722.9928
-1278966.0,34,25902.277612
-1201156.0,29,26061.893255
-1103911.0,29,26224.750541
-839658.0,29,26380.121582
-473440.0,24,26551.564761
-645676.0,24,26700.555933
