#{"t_start": 1780734190.6575925}
r,l,t
-5493.0,7,34.680954
-11024.0,7,69.303744
-5013.0,7,107.92675
-8080.0,8,147.768183
-6267.0,7,184.705728
-7642.0,6,219.647279
-5163.0,8,258.590785
-14908.0,7,297.153325
-16635.0,9,339.80592
-14347.0,10,390.459107
-5440.0,8,429.903513
-13612.0,7,462.516386
-5539.0,7,502.809323
-14516.0,6,538.948057
-4601.0,8,580.427453
-9878.0,8,618.87507
-8296.0,7,654.48783
-8650.0,9,695.72891
-13665.0,9,739.625459
-15181.0,8,775.357699
-6981.0,9,818.10935
-8830.0,8,853.179492
-6998.0,8,894.182817
-8831.0,11,941.314097
-5916.0,8,982.312586
-5671.0,10,1023.488835
-6122.0,8,1060.983756
-11115.0,12,1107.536979
-4460.0,10,1138.047997
-7713.0,8,1174.321331
-5778.0,9,1218.43447
-5694.0,9,1260.678266
-15148.0,10,1300.184015
-7170.0,12,1347.825404
-6287.0,8,1388.006424
-4405.0,8,1426.793641
-4733.0,12,1466.626645
-5754.0,8,1503.030983
-5134.0,8,1537.577411
-10505.0,9,1574.959503
-9945.0,9,1610.961226
-4339.0,9,1647.581075
-10637.0,12,1684.910481
-7263.0,12,1727.853139
-3700.0,7,1758.823586
-4624.0,17,1810.023174
-4050.0,12,1854.25407
-4182.0,12,1894.98434
-5346.0,12,1931.973982
-7142.0,12,1971.42182
-7806.0,8,2006.191484
-6897.0,8,2040.884053
-8770.0,8,2075.397304
-5322.0,12,2119.640037
-5800.0,14,2168.158396
-6080.0,12,2200.077208
-9053.0,12,2239.255799
-9307.0,13,2278.599173
-11237.0,13,2320.135519
-4949.0,13,2356.998843
-11484.0,9,2387.358943
-8483.0,12,2428.517806
-14357.0,8,2464.882556
-11309.0,8,2502.092334
-3206.0,16,2532.731711
-8098.0,8,2572.928655
-2864.0,9,2606.217626
-5371.0,13,2649.256644
-12253.0,14,2692.71759
-7457.0,17,2742.403153
-5112.0,10,2779.765634
-7039.0,12,2812.77753
-8781.0,12,2851.854716
-8903.0,11,2885.885522
-5558.0,20,2928.468374
-9886.0,11,2962.979313
-4485.0,20,3006.595913
-5638.0,21,3049.137483
-6221.0,10,3083.767366
-12774.0,14,3127.711486
-9649.0,12,3169.188087
-6348.0,13,3206.843684
-8584.0,11,3252.053588
-6227.0,15,3291.355224
-5190.0,20,3333.885892
-4838.0,16,3369.110035
-3828.0,20,3414.817353
-5725.0,20,3457.562429
-3624.0,16,3492.735759
-7215.0,21,3539.669825
-4033.0,20,3572.075994
-4555.0,20,3608.330597
-3537.0,20,3644.303403
-4793.0,20,3677.210735
-5215.0,19,3722.304261
-3045.0,20,3757.034572
-3240.0,24,3791.659842
-2874.0,24,3827.401285
-3219.0,24,3861.294859
-2603.0,20,3894.613182
-3565.0,20,3930.50176
-9419.0,13,3957.092242
-4441.0,18,3992.126729
-3232.0,24,4026.156929
-3996.0,14,4060.016673
-7682.0,8,4083.043646
-8259.0,9,4113.806663
-11544.0,10,4144.777753
-9397.0,9,4177.222641
-10697.0,9,4204.887694
-7343.0,8,4230.534972
-48013.0,14,4260.330235
-19376.0,9,4285.329929
-11987.0,10,4312.850252
-29310.0,9,4340.25562
-6413.0,8,4362.024928
-10394.0,8,4385.607103
-8531.0,7,4409.467557
-19590.0,9,4437.491085
-19009.0,9,4465.916688
-22502.0,9,4490.762613
-9255.0,7,4513.974501
-9496.0,9,4545.886167
-5340.0,8,4571.518042
-9335.0,8,4599.079738
-5333.0,6,4624.043975
-40779.0,14,4657.497125
-85377.0,23,4701.128708
-74651.0,17,4735.280195
-65655.0,19,4774.93447
-17796.0,9,4803.651228
-41196.0,14,4832.092483
-26902.0,14,4866.374997
-38818.0,14,4901.395252
-15196.0,9,4924.655687
-11859.0,6,4947.006766
-16308.0,9,4973.431534
-13434.0,7,4997.256622
-8699.0,9,5025.33128
-4415.0,8,5045.854126
-21183.0,9,5073.717175
-6069.0,8,5101.146986
-3226.0,10,5131.355255
-12935.0,9,5155.666952
-11022.0,12,5188.556151
-21853.0,8,5218.761256
-13344.0,8,5244.903416
-21178.0,9,5268.563765
-14669.0,9,5295.86896
-34926.0,9,5321.584084
-11809.0,9,5354.826969
-10032.0,8,5380.947544
-13540.0,9,5409.833266
-6579.0,7,5432.469311
-12297.0,8,5456.267854
-3806.0,8,5482.458744
-5248.0,7,5505.002801
-5807.0,8,5529.979667
-2753.0,9,5554.754531
-3755.0,16,5589.347084
-3902.0,24,5627.663322
-2673.0,20,5660.372304
-4634.0,18,5689.81048
-9973.0,9,5714.805299
-2810.0,12,5747.409413
-4061.0,11,5773.394159
-5127.0,7,5794.169943
-3553.0,8,5819.122891
-13033.0,7,5843.550757
-4168.0,8,5863.226832
-2656.0,8,5887.580996
-7706.0,10,5911.992149
-5112.0,8,5933.41956
-3834.0,20,5965.95305
-2807.0,24,5999.888552
-2473.0,28,6038.657481
-3737.0,20,6069.423063
-3043.0,28,6110.808394
-5455.0,12,6140.144486
-3730.0,16,6166.752294
-4932.0,20,6199.518088
-3905.0,16,6234.594863
-2740.0,16,6261.97519
-2434.0,28,6299.585899
-3354.0,24,6333.673933
-2573.0,28,6370.670458
-3365.0,24,6406.678522
-3285.0,25,6443.642908
-3716.0,20,6482.3404
-5075.0,16,6516.626721
-2495.0,28,6554.287672
-2809.0,24,6590.600154
-3121.0,24,6629.767043
-2941.0,24,6665.616788
-4439.0,20,6699.826081
-2479.0,28,6736.680503
-5790.0,20,6771.240923
-2896.0,24,6807.224486
-2419.0,28,6844.023974
-5095.0,20,6875.965566
-3441.0,24,6912.141381
-2632.0,28,6949.057339
-3022.0,23,6987.891814
-2600.0,24,7028.561758
-5038.0,20,7060.721001
-3056.0,24,7097.220051
-3312.0,27,7137.223933
-3247.0,26,7175.250261
-3040.0,24,7214.872588
-3976.0,21,7251.848064
