#{"t_start": 1780734190.6595232}
r,l,t
-10350.0,11,55.049705
-6962.0,8,97.208936
-16950.0,7,133.342261
-11750.0,7,173.023672
-10118.0,7,209.886795
-6339.0,8,251.160538
-14665.0,7,285.987241
-9221.0,8,330.303773
-6857.0,7,362.084642
-7831.0,6,393.375428
-7945.0,6,422.576198
-12551.0,9,465.759509
-6499.0,7,505.896033
-9190.0,8,553.221402
-5692.0,8,592.416449
-5177.0,6,620.602355
-8181.0,8,661.804156
-11464.0,8,697.552007
-9834.0,10,747.89079
-11313.0,7,778.313498
-8194.0,6,807.004165
-10955.0,9,847.680834
-9924.0,7,881.584427
-7948.0,6,909.68614
-6323.0,8,944.110492
-8531.0,7,976.568759
-8470.0,11,1026.354213
-18726.0,8,1064.242959
-8273.0,11,1105.72053
-6340.0,13,1151.542874
-5533.0,8,1188.707772
-14846.0,8,1228.178685
-6265.0,12,1284.272747
-4453.0,12,1324.397015
-12316.0,9,1364.828502
-11250.0,8,1406.010193
-7120.0,9,1441.696792
-9883.0,10,1479.27412
-5304.0,10,1519.953225
-4163.0,9,1565.465698
-7527.0,9,1596.232332
-6540.0,8,1631.049715
-5574.0,13,1671.326883
-10509.0,8,1704.914373
-15069.0,11,1742.435132
-5377.0,8,1777.297164
-12354.0,12,1806.983501
-5118.0,10,1843.664886
-5649.0,11,1878.969056
-15569.0,12,1919.571836
-5443.0,12,1951.92658
-5452.0,7,1988.351001
-6307.0,9,2025.042588
-12520.0,7,2058.201475
-9854.0,10,2097.677594
-6361.0,8,2128.066653
-6152.0,11,2159.78956
-5306.0,14,2202.740242
-7086.0,12,2240.528977
-3031.0,9,2272.468452
-6912.0,13,2308.925118
-3882.0,14,2350.555119
-9131.0,13,2397.577149
-4533.0,12,2437.582802
-10752.0,10,2480.077215
-6158.0,17,2527.677145
-15475.0,11,2568.600439
-3442.0,10,2608.893711
-5528.0,12,2646.172621
-6707.0,11,2681.06403
-6208.0,14,2723.290308
-5777.0,11,2757.019015
-5549.0,12,2793.076095
-6610.0,13,2834.640657
-7114.0,11,2871.811889
-5548.0,16,2909.694413
-4734.0,14,2943.394406
-5238.0,15,2982.625571
-4714.0,17,3018.108583
-6396.0,15,3050.732111
-4716.0,10,3086.995135
-3803.0,12,3123.292467
-5132.0,8,3153.735652
-5953.0,16,3201.425817
-10498.0,9,3229.285094
-6972.0,8,3265.199641
-6319.0,16,3304.443833
-3637.0,20,3340.466916
-4200.0,13,3376.191392
-3545.0,20,3418.340762
-5816.0,20,3461.19211
-8118.0,16,3499.019009
-3325.0,18,3534.187052
-3456.0,20,3569.127476
-2861.0,20,3605.448592
-6012.0,20,3641.333047
-3526.0,22,3679.772724
-5107.0,16,3714.582452
-3769.0,24,3759.845522
-2702.0,27,3800.839223
-2328.0,28,3840.174171
-3936.0,24,3872.903544
-4147.0,24,3916.512721
-4239.0,21,3959.114752
-6638.0,20,3996.24473
-3212.0,27,4039.69524
-3749.0,24,4105.560019
-5146.0,16,4159.402733
-4056.0,20,4223.903721
-2578.0,28,4292.544578
-2942.0,24,4362.539242
-3583.0,25,4444.807142
-2708.0,27,4524.73615
-5106.0,20,4592.823064
-3281.0,24,4660.889262
-2403.0,28,4713.266596
-2366.0,28,4772.941198
-3664.0,20,4825.73669
-4387.0,24,4881.620446
-2436.0,28,4963.203668
-2708.0,28,5047.402598
-3045.0,20,5110.128061
-2493.0,28,5190.08289
-2486.0,28,5280.162328
-3916.0,23,5350.251264
-3000.0,28,5442.157542
-3954.0,24,5519.073068
-3003.0,27,5585.113138
-2951.0,24,5624.697663
-3141.0,24,5667.760187
-2594.0,28,5722.694871
-3644.0,24,5786.694986
-3116.0,26,5865.959684
-2501.0,28,5937.254036
-2515.0,28,5979.3105
-4999.0,20,6011.823596
-2415.0,28,6048.313647
-4677.0,25,6088.81306
-4352.0,24,6130.03183
-2495.0,28,6178.964576
-2436.0,28,6231.38549
-2326.0,28,6276.601987
-2623.0,28,6313.41681
-2821.0,28,6352.304775
-2433.0,24,6388.46728
-3160.0,24,6423.833853
-4245.0,20,6460.828055
-3285.0,20,6499.093079
-3407.0,24,6536.245236
-2301.0,28,6572.803722
-4139.0,20,6607.882828
-3740.0,24,6648.2057
-2280.0,24,6683.571249
-3276.0,28,6725.095898
-3843.0,24,6763.67161
-3481.0,24,6799.630114
-2402.0,28,6836.464049
-3393.0,29,6881.278856
-3602.0,24,6917.379508
-2609.0,28,6953.60944
-3962.0,20,6990.526161
-4184.0,24,7029.102237
-2978.0,20,7061.223689
-3123.0,24,7097.72247
-4211.0,24,7130.780011
-3690.0,24,7167.245267
-4224.0,24,7206.156961
-3963.0,20,7241.853046
-5371.0,16,7275.330753
-3063.0,24,7313.406173
-4426.0,21,7348.497777
-3966.0,24,7382.392556
-4932.0,24,7414.725696
-2399.0,28,7447.326686
-2389.0,28,7482.355601
-3247.0,24,7518.636831
-2756.0,24,7550.898408
-4206.0,20,7587.905418
-2463.0,24,7627.322437
-4116.0,24,7662.924058
-2759.0,27,7701.690924
-3227.0,24,7743.770527
-2614.0,28,7781.315055
-2718.0,24,7825.978579
-3726.0,20,7859.94018
-3152.0,25,7893.598431
-3170.0,24,7929.027127
-3373.0,24,7963.620731
-3745.0,24,7999.258769
-2888.0,24,8034.215647
-4371.0,24,8069.551463
-5128.0,20,8108.768436
-2827.0,24,8145.337028
-3304.0,24,8179.014172
-3469.0,24,8215.751997
-3116.0,22,8251.656892
-3187.0,20,8287.275007
-3032.0,24,8320.986923
-4579.0,20,8354.314645
-3077.0,24,8392.306577
-2587.0,24,8427.747773
-4606.0,20,8467.676183
-4233.0,24,8504.187286
-3159.0,24,8539.500254
-3378.0,24,8576.474559
-4330.0,20,8608.683215
-3071.0,24,8647.522946
-2554.0,24,8684.205858
