#{"t_start": 1780734190.660254}
r,l,t
-10468.0,9,45.163033
-7850.0,6,78.380889
-10495.0,6,111.885356
-9477.0,10,161.857489
-10367.0,8,204.223964
-4730.0,7,242.487794
-11032.0,9,287.651743
-12941.0,9,334.932024
-5051.0,7,369.380591
-9910.0,8,409.582103
-13967.0,11,459.51148
-7190.0,7,500.005606
-7789.0,6,535.913235
-4142.0,6,569.097282
-12309.0,9,610.8499
-7586.0,8,651.842986
-5832.0,10,698.987535
-8486.0,9,741.453269
-5868.0,9,785.373229
-20464.0,9,828.225364
-9949.0,10,871.208805
-12198.0,7,906.283798
-7075.0,8,938.666002
-6843.0,8,978.078434
-7307.0,7,1013.328681
-5658.0,11,1058.792545
-5714.0,11,1099.924316
-13392.0,10,1133.969186
-6721.0,8,1166.310181
-21930.0,8,1210.131784
-4085.0,7,1242.040437
-11694.0,8,1280.349948
-8724.0,9,1314.732958
-5846.0,9,1346.155613
-7445.0,8,1384.994394
-15332.0,6,1418.266829
-8196.0,11,1455.766334
-8266.0,11,1500.18821
-7773.0,8,1535.391625
-5889.0,9,1572.155108
-12528.0,10,1615.213669
-10752.0,13,1657.441523
-5738.0,10,1696.481106
-5587.0,9,1724.951872
-5011.0,8,1761.429062
-4407.0,12,1794.095672
-4078.0,9,1824.582411
-11707.0,9,1863.395534
-6925.0,11,1899.334364
-6651.0,11,1930.263199
-4156.0,12,1969.682254
-4109.0,11,2015.709059
-8347.0,13,2072.504738
-8141.0,12,2116.92256
-5566.0,12,2155.567575
-8275.0,12,2194.757009
-5380.0,13,2235.175564
-3405.0,10,2268.561257
-6994.0,12,2303.021062
-7157.0,12,2340.892928
-4604.0,12,2374.167139
-7540.0,13,2419.327337
-6537.0,8,2455.300901
-9283.0,10,2499.135642
-3697.0,18,2538.762103
-5084.0,7,2576.937061
-5813.0,10,2617.208342
-10646.0,12,2653.075984
-5822.0,12,2688.671604
-7854.0,12,2724.584762
-8419.0,12,2764.524482
-3461.0,14,2806.077266
-9404.0,13,2843.263277
-11234.0,13,2887.602074
-5132.0,18,2924.612898
-9389.0,11,2959.091091
-5291.0,17,2998.200605
-6221.0,20,3033.850514
-8030.0,12,3070.79898
-8059.0,13,3111.877273
-6860.0,11,3155.187973
-6516.0,14,3194.106535
-8143.0,12,3238.237111
-9383.0,11,3275.565145
-2865.0,16,3310.704111
-7232.0,16,3340.726304
-3966.0,13,3377.876326
-3059.0,28,3429.305773
-7572.0,16,3469.825298
-5962.0,12,3500.599605
-4013.0,18,3535.546231
-3046.0,24,3578.482139
-4115.0,20,3611.707342
-3505.0,20,3648.64388
-4306.0,20,3684.718314
-7515.0,14,3716.093008
-3518.0,20,3752.806159
-3122.0,25,3788.954855
-2916.0,28,3831.893691
-2377.0,28,3869.66583
-3613.0,26,3917.861057
-4039.0,24,3966.116393
-2953.0,24,4005.833492
-2596.0,24,4050.017167
-2815.0,28,4128.609902
-4441.0,16,4190.255791
-2685.0,24,4249.891628
-2641.0,28,4328.061803
-3478.0,20,4387.709749
-2604.0,24,4464.263999
-3213.0,24,4539.424474
-3344.0,20,4610.14097
-3515.0,24,4671.397876
-2408.0,28,4722.509246
-2841.0,28,4786.864107
-4411.0,24,4842.023222
-5031.0,20,4893.837623
-2418.0,28,4975.496238
-3506.0,24,5047.649917
-5604.0,20,5110.369601
-2488.0,28,5190.325651
-2516.0,28,5280.404207
-4007.0,24,5355.55355
-2593.0,24,5433.272997
-4252.0,20,5495.102184
-2408.0,28,5573.477817
-3798.0,20,5612.595687
-4335.0,23,5649.451525
-2886.0,28,5694.166675
-5155.0,16,5739.245815
-2400.0,28,5812.539699
-3669.0,24,5884.795014
-2510.0,28,5951.146411
-2494.0,28,5988.717031
-3758.0,20,6021.601711
-2759.0,26,6058.827069
-3034.0,24,6094.308077
-3434.0,24,6138.516888
-2362.0,28,6186.604918
-3008.0,24,6231.639981
-2538.0,28,6276.865754
-2314.0,28,6313.674224
-2381.0,28,6352.547843
-2705.0,24,6388.728334
-2636.0,24,6424.089389
-5212.0,18,6457.42927
-3222.0,20,6492.315465
-2811.0,24,6533.648414
-2641.0,28,6569.618376
-3684.0,20,6604.663374
-4343.0,24,6640.209608
-2823.0,24,6676.957327
-4331.0,24,6715.865752
-2336.0,24,6751.42385
-3035.0,24,6787.682684
-2546.0,28,6827.170673
-3790.0,24,6865.059867
-2379.0,24,6901.328407
-2439.0,28,6938.125284
-3202.0,24,6977.773552
-3534.0,24,7014.141436
-2714.0,24,7055.652016
-2511.0,24,7092.075509
-2268.0,28,7133.472415
-2783.0,24,7169.810203
-3084.0,23,7207.45445
-4493.0,24,7247.959445
-5908.0,16,7287.23222
-2367.0,28,7326.76297
-4333.0,20,7358.941554
-3787.0,24,7391.195374
-3107.0,24,7423.24665
-2442.0,28,7455.978364
-3590.0,21,7483.583507
-3272.0,24,7518.883965
-2525.0,26,7559.11724
-2616.0,24,7599.085875
-3505.0,24,7641.155774
-2481.0,28,7677.870118
-3797.0,20,7711.410452
-2262.0,24,7748.250298
-2377.0,28,7786.324098
-3647.0,20,7822.579919
-4024.0,24,7864.661936
-2673.0,24,7899.608972
-2621.0,28,7937.751036
-2742.0,24,7972.379947
-2956.0,24,8008.83612
-2615.0,28,8048.558595
-3381.0,26,8090.061705
-3738.0,19,8127.94082
-2402.0,28,8164.235768
-2651.0,24,8198.423566
-3300.0,24,8234.876332
-5358.0,16,8273.048712
-3003.0,28,8311.483155
-3701.0,24,8347.107034
-4203.0,20,8383.015464
-3293.0,26,8420.883518
-4388.0,19,8458.263205
-3140.0,24,8496.048303
-3738.0,24,8532.220422
-2649.0,24,8569.184085
-2556.0,24,8603.190345
-4019.0,20,8639.47999
-2250.0,24,8676.228414
