#{"t_start": 1780734190.6585817}
r,l,t
-6789.0,6,29.433648
-6407.0,7,64.75584
-4543.0,7,102.729275
-7663.0,7,138.904723
-6330.0,7,177.481697
-13423.0,8,221.204834
-17281.0,8,258.872495
-4188.0,7,298.724297
-7984.0,8,337.880062
-7671.0,6,366.916553
-10067.0,13,431.521431
-10811.0,8,472.487417
-13500.0,7,512.032368
-4923.0,6,546.950722
-14114.0,7,582.014662
-4106.0,11,634.775283
-9972.0,7,671.644914
-6291.0,7,706.110191
-3337.0,7,736.604243
-4754.0,9,776.8045
-10238.0,9,819.67472
-6606.0,10,862.181349
-12003.0,11,916.846538
-11787.0,9,957.71158
-7469.0,9,999.35863
-10278.0,8,1033.64357
-4903.0,8,1070.452378
-6502.0,8,1096.953765
-9023.0,13,1144.667731
-5677.0,8,1181.21813
-10645.0,8,1219.425845
-12983.0,8,1257.164424
-20422.0,8,1293.703918
-11476.0,11,1328.777752
-10893.0,7,1363.013228
-5147.0,7,1399.541944
-11841.0,10,1440.788222
-7409.0,10,1477.711857
-17523.0,8,1510.881474
-4996.0,8,1549.905746
-7834.0,12,1594.522579
-3869.0,8,1630.700836
-6101.0,10,1661.660809
-15008.0,13,1708.348983
-13173.0,13,1759.166437
-9407.0,15,1803.024803
-5714.0,11,1842.264727
-5438.0,11,1877.546254
-5451.0,12,1919.296516
-5120.0,14,1960.266539
-16446.0,8,2000.445114
-6228.0,8,2034.01311
-4377.0,10,2076.757605
-8007.0,8,2105.583152
-6792.0,12,2145.159892
-17004.0,10,2180.744344
-4786.0,14,2219.519813
-12969.0,10,2254.366527
-3182.0,13,2296.378245
-13784.0,11,2330.955463
-5081.0,16,2372.471557
-23144.0,8,2407.161987
-7147.0,12,2446.761032
-5204.0,8,2485.730561
-6647.0,13,2521.431579
-5326.0,11,2552.961282
-17620.0,8,2593.016094
-8639.0,10,2626.195168
-7103.0,12,2666.922279
-8211.0,12,2702.108806
-3263.0,9,2728.925303
-6860.0,14,2769.865645
-4332.0,12,2808.012973
-5482.0,12,2842.652336
-6228.0,10,2877.940521
-8809.0,18,2916.343385
-7477.0,17,2967.600057
-4183.0,14,2996.350594
-5164.0,25,3044.489712
-8429.0,13,3091.410503
-6149.0,12,3129.151825
-7920.0,9,3163.294181
-5790.0,12,3197.831414
-4151.0,11,3235.388642
-6847.0,11,3274.054782
-2751.0,20,3318.221255
-3575.0,19,3356.547902
-5236.0,16,3401.413254
-3766.0,21,3437.929837
-5471.0,21,3482.582199
-6804.0,12,3516.65711
-5284.0,24,3554.912328
-7350.0,16,3586.803557
-2769.0,24,3628.880496
-3621.0,24,3669.036344
-5064.0,16,3700.279361
-7856.0,12,3733.664994
-2982.0,24,3770.28694
-4750.0,20,3803.023057
-2737.0,24,3835.480299
-2403.0,28,3875.069431
-7570.0,15,3903.484821
-3753.0,20,3942.064562
-3155.0,20,3979.283795
-3356.0,24,4015.631632
-7141.0,12,4038.350225
-4379.0,12,4065.987488
-4543.0,6,4087.494533
-8135.0,7,4110.378417
-19889.0,9,4137.739615
-4013.0,7,4163.886842
-9653.0,6,4185.324435
-14950.0,9,4210.879484
-18677.0,15,4247.048914
-19903.0,11,4276.31943
-18210.0,9,4302.939917
-30770.0,11,4334.316903
-22408.0,13,4371.418982
-7638.0,7,4396.619879
-14962.0,9,4422.746676
-3938.0,6,4443.43095
-25377.0,13,4481.664213
-6795.0,8,4504.926307
-9494.0,8,4532.108029
-6535.0,6,4557.631507
-4860.0,8,4578.838564
-26264.0,8,4609.648074
-28166.0,8,4635.96438
-25033.0,14,4666.517622
-31843.0,11,4689.766614
-48349.0,22,4729.146252
-13052.0,12,4755.291526
-40989.0,14,4791.261559
-24103.0,14,4823.156018
-25733.0,13,4853.995393
-28599.0,12,4881.062744
-11772.0,9,4905.450439
-14476.0,9,4931.090379
-20459.0,9,4959.334751
-30833.0,9,4987.69263
-12164.0,7,5009.128161
-18649.0,9,5038.501528
-14624.0,10,5064.655513
-4947.0,8,5093.214474
-6518.0,8,5117.079509
-9599.0,9,5141.639836
-20301.0,9,5168.372143
-5781.0,8,5189.839141
-11959.0,7,5214.925111
-9842.0,7,5239.354212
-16311.0,10,5266.3679
-10099.0,9,5294.423808
-9690.0,11,5326.398396
-11231.0,6,5345.435219
-8967.0,8,5375.201725
-17114.0,6,5396.248578
-8634.0,8,5420.706731
-15712.0,12,5457.735131
-6174.0,9,5486.807753
-11393.0,8,5513.96337
-2728.0,8,5539.860271
-3304.0,12,5567.113744
-5193.0,12,5593.236342
-2611.0,24,5630.24998
-3535.0,20,5665.186276
-3648.0,20,5699.229166
-3334.0,11,5729.65395
-5682.0,12,5759.589802
-4929.0,8,5780.665043
-4065.0,11,5812.016937
-3978.0,7,5836.670057
-6862.0,10,5864.604055
-6951.0,16,5905.602961
-2672.0,9,5931.842023
-2892.0,17,5961.106096
-2537.0,28,6000.148096
-2355.0,28,6038.910926
-3093.0,24,6079.142175
-2867.0,24,6112.192907
-3641.0,13,6143.875683
-3117.0,17,6171.625842
-3657.0,20,6204.341572
-2920.0,12,6228.744608
-3424.0,14,6255.195893
-2682.0,24,6289.421511
-2848.0,24,6323.455718
-2579.0,28,6360.136153
-2515.0,24,6396.323847
-2412.0,28,6436.522047
-3726.0,22,6477.952108
-6314.0,16,6512.255377
-2957.0,24,6545.313093
-3538.0,24,6581.334244
-4836.0,20,6615.904048
-3548.0,24,6652.677215
-4341.0,24,6688.092908
-3787.0,24,6722.378558
-2182.0,24,6759.930981
-3687.0,24,6796.962554
-2538.0,28,6833.860105
-3259.0,20,6866.988211
-2597.0,24,6903.244315
-2661.0,28,6940.002006
-4255.0,23,6975.241812
-3527.0,24,7013.618806
-3363.0,24,7055.124778
-3219.0,24,7091.504766
-3119.0,24,7125.791944
-4233.0,24,7162.272979
-3959.0,24,7198.690478
-5061.0,16,7233.023881
-6136.0,23,7273.699502
-2905.0,28,7319.278358
-2646.0,24,7358.413023
-2837.0,24,7390.684836
-3002.0,24,7422.704006
-2331.0,28,7455.423296
-4496.0,21,7482.180937
-3147.0,24,7518.425051
-3827.0,24,7550.648398
-5978.0,20,7587.480268
-2428.0,24,7627.067561
-2810.0,28,7668.899762
-3173.0,26,7709.675416
-3349.0,24,7747.734508
-2537.0,28,7785.816746
-4709.0,20,7822.056749
-3490.0,20,7857.307665
-2967.0,26,7892.089061
-4333.0,24,7928.787017
-2737.0,28,7968.562911
-2447.0,24,8004.865531
-3185.0,24,8039.837134
-2321.0,24,8075.020331
-4620.0,16,8108.468979
-3783.0,24,8145.090465
-2625.0,28,8184.61174
-3437.0,24,8221.220021
-3313.0,20,8255.346535
-2765.0,24,8295.088774
-3737.0,24,8328.72449
-3794.0,24,8369.128602
-2639.0,24,8406.649039
-3622.0,20,8440.247609
-3065.0,20,8477.371453
-3670.0,24,8511.617766
-5116.0,24,8553.362898
-2644.0,28,8592.604069
-3216.0,22,8627.311837
-2347.0,24,8662.582687
