#{"t_start": 1780911697.7124546}
r,l,t
-39155.0,8,56.937169
-20267.0,6,100.407408
-15693.0,6,144.858389
-53035.0,8,198.953072
-42988.0,9,257.579779
-40698.0,7,304.203257
-58005.0,9,364.786019
-76745.0,6,405.443087
-32647.0,6,452.507991
-23833.0,6,488.661345
-15695.0,6,533.927603
-30363.0,8,586.941739
-38298.0,6,631.788359
-57783.0,8,689.032229
-23746.0,7,735.108111
-21738.0,6,780.970083
-25402.0,6,824.736604
-36538.0,8,876.521492
-15623.0,8,926.252587
-59590.0,9,974.112404
-21653.0,8,1023.488186
-48463.0,8,1074.548971
-41536.0,7,1121.605326
-50533.0,8,1176.318018
-26394.0,8,1224.713425
-44783.0,8,1282.289901
-49216.0,8,1334.969833
-20821.0,8,1393.398556
-14769.0,7,1443.627344
-36367.0,8,1498.210173
-18087.0,8,1552.798006
-20053.0,8,1609.059869
-37010.0,9,1657.663749
-15302.0,9,1703.513509
-24703.0,12,1760.989302
-15156.0,8,1811.588529
-20423.0,8,1859.117705
-39132.0,8,1905.117
-48493.0,10,1966.700148
-37429.0,8,2019.469207
-19613.0,8,2067.984594
-12094.0,12,2123.898478
-31255.0,8,2164.314867
-13965.0,10,2212.794623
-18105.0,12,2257.031313
-22651.0,8,2305.709429
-50639.0,7,2353.074922
-34789.0,7,2400.467752
-26368.0,9,2441.054017
-28006.0,9,2492.034518
-27534.0,12,2560.158564
-14871.0,9,2607.38576
-26116.0,7,2652.69696
-13905.0,8,2698.029554
-27553.0,7,2751.384145
-36538.0,9,2801.226741
-18009.0,8,2851.529096
-21398.0,8,2893.114462
-33220.0,8,2937.341597
-38617.0,12,2993.953308
-26642.0,8,3036.622656
-16570.0,12,3088.744498
-40112.0,8,3138.348368
-21498.0,8,3179.178895
-16076.0,10,3229.877743
-21329.0,11,3279.474406
-13616.0,11,3334.778589
-14658.0,12,3374.543859
-16471.0,9,3416.273993
-13604.0,8,3462.101608
-18434.0,8,3501.870263
-20670.0,11,3548.540408
-17084.0,14,3591.606716
-33725.0,8,3630.083975
-16256.0,12,3675.267054
-21324.0,12,3715.557483
-16623.0,16,3756.53086
-31773.0,12,3800.910825
-21263.0,11,3845.92186
-22000.0,13,3893.480917
-24183.0,11,3942.946821
-46338.0,8,3993.083736
-17008.0,16,4043.375935
-17374.0,12,4087.364676
-30613.0,10,4133.101883
-34723.0,9,4175.903934
-19749.0,17,4231.946815
-17135.0,12,4276.379367
-39122.0,13,4330.48109
-19455.0,15,4380.876327
-14027.0,16,4428.014332
-16038.0,13,4476.934553
-27071.0,12,4521.075829
-44093.0,8,4557.136565
-19821.0,10,4600.513707
-26840.0,10,4644.320683
-17851.0,12,4685.309811
-15478.0,24,4730.093924
-14375.0,16,4771.525009
-20979.0,10,4816.379089
-13833.0,20,4860.34496
-21824.0,14,4906.990436
-18481.0,12,4950.34515
-11557.0,26,4998.449921
-13185.0,16,5046.750527
-14277.0,20,5126.233568
-16490.0,20,5210.570152
-11643.0,27,5298.609518
-10009.0,24,5363.267958
-10811.0,28,5428.898831
-20846.0,20,5486.245828
-10332.0,24,5531.140678
-13426.0,20,5576.238748
-16768.0,20,5624.768425
-13291.0,24,5676.207425
-10634.0,24,5726.776281
-9887.0,24,5773.589879
-12433.0,24,5816.735749
-10654.0,28,5861.291695
-13791.0,24,5908.833182
-12505.0,26,5962.648126
-8380.0,24,6007.216481
-10884.0,28,6055.653942
-12957.0,20,6098.99526
-14369.0,20,6140.58486
-11681.0,24,6186.51024
-12744.0,20,6231.629199
-10672.0,28,6278.240458
-10842.0,28,6323.38404
-15040.0,20,6367.82116
-14594.0,21,6412.81378
-9044.0,24,6457.517269
-9236.0,24,6503.064339
-18790.0,20,6554.609605
-11626.0,24,6599.350575
-13410.0,20,6643.574991
-18646.0,19,6695.164717
-11522.0,26,6745.374275
-18183.0,19,6794.549178
-12301.0,20,6841.789654
-10400.0,28,6886.325563
-10987.0,28,6938.77648
-17543.0,16,6985.318006
-10669.0,24,7028.010543
-10688.0,28,7076.055834
-16544.0,20,7123.342396
-11766.0,22,7170.464432
-13454.0,24,7219.436822
-10727.0,28,7263.536467
-11717.0,20,7315.488241
-12593.0,28,7368.976393
-11715.0,24,7411.913261
-9457.0,20,7456.550298
-9366.0,24,7501.370217
-10579.0,28,7552.0298
-12331.0,20,7602.446383
-10312.0,28,7656.717122
-13645.0,24,7708.791463
-9961.0,24,7756.195043
-11759.0,20,7803.432711
-10624.0,28,7855.880387
-11973.0,20,7913.235255
-15745.0,20,7974.850289
-12040.0,24,8064.264685
-10458.0,28,8157.517231
-18413.0,20,8245.561018
-10806.0,28,8336.455433
-15738.0,24,8414.612783
-10690.0,28,8520.512028
-10798.0,28,8632.243525
-12695.0,24,8742.041573
-11815.0,24,8848.494058
-10591.0,28,8971.226557
-12082.0,24,9078.272734
-12487.0,24,9169.447625
-10758.0,28,9290.133869
-9897.0,24,9388.914979
-10716.0,28,9501.987227
-14499.0,24,9597.182255
-15060.0,21,9685.377461
-10629.0,28,9810.216657
-19308.0,20,9903.186613
-10443.0,28,10013.978803
-10484.0,28,10128.189457
-23157.0,16,10208.05369
-10079.0,24,10303.961983
-10606.0,28,10423.045424
-10255.0,20,10511.724976
-10596.0,28,10601.969619
-12725.0,25,10699.12308
-10781.0,28,10818.111726
-9194.0,24,10923.911654
-9492.0,24,11020.603544
-10620.0,24,11131.013026
-11155.0,24,11223.402267
-9617.0,24,11320.577668
-10755.0,28,11412.825165
-11499.0,13,11471.847597
-13343.0,20,11561.33361
-10924.0,28,11691.350495
-16001.0,17,11774.939073
-39185.0,16,11855.774392
-10248.0,20,11952.40056
-11558.0,27,12072.89307
-13456.0,16,12156.078991
-10522.0,28,12283.601466
-9175.0,24,12392.805372
-10989.0,28,12505.843983
-13861.0,24,12614.51722
-9859.0,24,12719.5702
-10653.0,28,12849.363318
-12697.0,24,12958.51361
-11419.0,24,13064.369315
-10512.0,28,13186.033762
-10705.0,28,13320.303112
-13253.0,20,13399.184375
-11589.0,23,13497.795425
-11449.0,28,13604.998532
