#{"t_start": 1780911697.7104752}
r,l,t
-28443.0,6,37.579645
-20494.0,6,80.064529
-28524.0,6,127.236412
-22149.0,7,174.623762
-33049.0,6,217.726829
-17639.0,7,262.639651
-33832.0,7,309.006564
-19208.0,6,349.258639
-15926.0,8,400.397602
-31533.0,6,448.801324
-31498.0,9,508.265043
-27331.0,9,565.136536
-33823.0,8,628.193113
-27976.0,7,677.136305
-42289.0,8,732.073247
-51362.0,7,786.698704
-33390.0,7,836.289421
-33269.0,8,889.697555
-39050.0,8,939.380807
-11384.0,9,984.166754
-54354.0,9,1037.98242
-19013.0,7,1087.243822
-34502.0,7,1133.979296
-16386.0,7,1182.73678
-64311.0,9,1236.582112
-20124.0,6,1277.536964
-27717.0,6,1321.437218
-26788.0,6,1360.381988
-14363.0,6,1404.342381
-22120.0,6,1449.176933
-24692.0,8,1503.890823
-21858.0,7,1549.097178
-25577.0,7,1596.329867
-17539.0,8,1645.702825
-22381.0,8,1683.580027
-21850.0,8,1729.590865
-26684.0,9,1774.228703
-27921.0,10,1825.289374
-26159.0,7,1873.646311
-25305.0,8,1917.77213
-52662.0,7,1962.200421
-20069.0,8,2014.898461
-38201.0,8,2065.722516
-27833.0,9,2101.65902
-21953.0,11,2161.705372
-28935.0,10,2209.60982
-27888.0,12,2253.373215
-49064.0,8,2302.584198
-19879.0,7,2349.436409
-27363.0,8,2402.707322
-25556.0,9,2447.195553
-19992.0,11,2499.886804
-40174.0,8,2547.917208
-18576.0,8,2592.467731
-33673.0,8,2646.534347
-33108.0,8,2688.858435
-33619.0,6,2732.522265
-25538.0,8,2780.052883
-38947.0,7,2830.491799
-19858.0,9,2873.164324
-21712.0,8,2914.538888
-18886.0,9,2959.416155
-25528.0,11,3018.275577
-32345.0,8,3064.66056
-34742.0,9,3101.936399
-26331.0,8,3145.562455
-24414.0,9,3192.772813
-19165.0,12,3245.66414
-28031.0,10,3294.665741
-16445.0,8,3338.052099
-17797.0,17,3390.233942
-42832.0,6,3436.097411
-23757.0,9,3479.737433
-30260.0,12,3531.492403
-20570.0,16,3580.466072
-23689.0,8,3620.027739
-15389.0,12,3666.910977
-17749.0,11,3709.383038
-16185.0,17,3750.365985
-23486.0,12,3795.985109
-21071.0,12,3842.482183
-23720.0,12,3884.97743
-30591.0,12,3939.450414
-23268.0,8,3988.429487
-22047.0,15,4036.339679
-31657.0,10,4078.457206
-23790.0,12,4123.624237
-26467.0,10,4171.295866
-20637.0,12,4212.083642
-16437.0,15,4255.955242
-16419.0,12,4302.65414
-27079.0,10,4355.780534
-14807.0,16,4401.934992
-15871.0,13,4448.195751
-13636.0,12,4490.441909
-18052.0,12,4533.16494
-22375.0,9,4584.125938
