#{"t_start": 1780911697.7092867}
r,l,t
-21686.0,7,43.663935
-32766.0,7,94.632984
-16836.0,6,140.943857
-42937.0,8,193.712342
-19060.0,7,242.217047
-55620.0,8,290.50301
-13048.0,6,330.93687
-22338.0,8,383.419432
-18273.0,7,438.765113
-25929.0,8,492.342236
-34126.0,6,537.657671
-13017.0,6,572.538418
-30836.0,6,617.404333
-30154.0,6,657.404132
-30185.0,6,703.291327
-17357.0,7,751.812114
-19493.0,6,797.826406
-14478.0,6,842.641476
-34150.0,7,887.448159
-30202.0,8,937.361475
-69978.0,12,995.977368
-23311.0,7,1044.879629
-52914.0,9,1099.846763
-23135.0,6,1145.656139
-33775.0,7,1192.649108
-26910.0,8,1240.492851
-38341.0,7,1293.405413
-22038.0,9,1351.424747
-60699.0,8,1411.552029
-29017.0,9,1471.381955
-17422.0,7,1525.558098
-32980.0,6,1564.200723
-25538.0,8,1617.469124
-29201.0,8,1661.620794
-28751.0,9,1707.190008
-26374.0,8,1745.126231
-23213.0,8,1789.136931
-18827.0,8,1833.742545
-16298.0,8,1883.599888
-29139.0,9,1935.738953
-28427.0,7,1983.630667
-51917.0,8,2033.138639
-20936.0,8,2078.719661
-19373.0,8,2116.989434
-11801.0,8,2154.186383
-24074.0,9,2193.440606
-19335.0,12,2240.51568
-23574.0,7,2282.318167
-25189.0,8,2329.555645
-18497.0,6,2377.498101
-25138.0,12,2436.168164
-17692.0,6,2475.67707
-29180.0,10,2520.49086
-24660.0,7,2571.091327
-18260.0,9,2619.266643
-23736.0,8,2664.669893
-22791.0,8,2715.931999
-21242.0,9,2771.193943
-27664.0,8,2827.960301
-19895.0,9,2871.390678
-33712.0,8,2912.523584
-28061.0,9,2957.274721
-14837.0,8,3002.197552
-15973.0,9,3053.612745
-35579.0,12,3109.111504
-14748.0,8,3152.010016
-30901.0,9,3201.366009
-30379.0,11,3243.935104
-23528.0,9,3286.039037
-24239.0,8,3329.814458
-17693.0,12,3373.371003
-28691.0,10,3420.064961
-31546.0,8,3465.92433
-41064.0,8,3505.873892
-23119.0,12,3553.488051
-17310.0,16,3596.807497
-9945.0,8,3641.868099
-15666.0,12,3685.997534
-11155.0,16,3725.830865
-18128.0,12,3767.11376
-24538.0,12,3813.818156
-13775.0,13,3856.273755
-22782.0,10,3899.742265
-23147.0,8,3937.483006
-22480.0,8,3986.349009
-26418.0,15,4034.644079
-20852.0,16,4092.594966
-16772.0,8,4136.569496
-21358.0,10,4187.834085
-18977.0,15,4226.660054
-21719.0,12,4270.310658
-31220.0,12,4316.246035
-21789.0,10,4364.290435
-16779.0,16,4408.394932
-23470.0,11,4446.329226
-22874.0,12,4488.511865
-12794.0,12,4530.970797
-15841.0,8,4573.827128
-19189.0,13,4617.82475
-20972.0,9,4667.893193
-13080.0,24,4714.251558
-13176.0,20,4761.199895
-40284.0,12,4811.452178
-13752.0,20,4859.419284
-14621.0,12,4897.039036
-21812.0,12,4941.364122
-12960.0,16,4979.881002
-15849.0,19,5022.961012
-22015.0,11,5053.280468
-17013.0,8,5081.864927
-16042.0,7,5110.022596
-96766.0,7,5144.92573
-53889.0,9,5181.468308
-45028.0,9,5218.005348
-75720.0,14,5260.677224
-143957.0,14,5309.990714
-117447.0,10,5341.991557
-142808.0,19,5381.476868
-236239.0,26,5442.843468
-310328.0,19,5494.079071
-159991.0,21,5537.762264
-176519.0,24,5596.343967
-252783.0,29,5661.713553
-167188.0,24,5715.027798
-255339.0,29,5767.280695
-243588.0,29,5818.661259
-426521.0,34,5874.067079
-277923.0,29,5930.644926
-229320.0,24,5985.857497
-425399.0,34,6044.127637
-291025.0,29,6101.007479
-378923.0,29,6157.150668
-259118.0,29,6215.498447
-391488.0,29,6270.000094
-426217.0,34,6328.396789
-311625.0,24,6378.074533
-147612.0,24,6433.295608
-266330.0,29,6488.207332
-181145.0,25,6537.592582
-318126.0,24,6591.475161
-115033.0,24,6640.360131
-139322.0,20,6690.156155
-221306.0,29,6751.164236
-53271.0,18,6799.290108
-257104.0,24,6852.850692
-284006.0,30,6905.520463
-231872.0,29,6963.456592
-324926.0,24,7016.612933
-425112.0,34,7072.566874
-262232.0,24,7129.679679
-247136.0,29,7186.514202
-278435.0,29,7242.862037
-111154.0,24,7293.636039
-229613.0,24,7341.425531
-219494.0,29,7394.866538
-195747.0,19,7442.824492
-197233.0,24,7487.122001
-425928.0,34,7546.134865
-241578.0,24,7604.465992
-171156.0,24,7645.72683
-110796.0,14,7686.171865
-290733.0,30,7741.612383
-130821.0,19,7789.202534
-226041.0,24,7836.592802
-95801.0,20,7883.270115
-148158.0,17,7930.90796
-212999.0,18,7983.908209
-52383.0,9,8019.191434
-81248.0,10,8052.367189
-58764.0,9,8089.572608
-117913.0,14,8128.687919
-43809.0,9,8163.798271
-54636.0,10,8204.048343
-50655.0,6,8232.713993
-65264.0,8,8270.364937
-140831.0,14,8310.246839
-141453.0,14,8351.110946
-58496.0,9,8380.350421
-74447.0,14,8426.270283
-77932.0,9,8458.455707
-64017.0,9,8492.378012
-43059.0,6,8524.615825
-44618.0,8,8549.535645
-30565.0,6,8579.20574
-37269.0,9,8610.322423
-48830.0,7,8646.536149
-25115.0,6,8677.084574
-42976.0,6,8703.628698
-48282.0,7,8732.667596
-24672.0,6,8758.525141
-40528.0,8,8789.905908
-31252.0,7,8823.25159
-35340.0,6,8852.477868
-44314.0,6,8876.35562
-15532.0,6,8905.197416
-26662.0,8,8938.480369
-68024.0,8,8975.702559
-25689.0,6,9002.587387
-52316.0,9,9040.071978
-16361.0,6,9066.093329
-42643.0,10,9104.662229
-56574.0,8,9132.625698
-59680.0,8,9168.396713
-76665.0,9,9206.513256
-55511.0,9,9241.183583
-40823.0,8,9279.795977
-28311.0,8,9315.386278
-21533.0,7,9341.034273
-27144.0,7,9371.620181
-39001.0,6,9397.720909
-48788.0,9,9428.023633
-25911.0,6,9453.217481
-35798.0,6,9481.767846
-30560.0,9,9517.284159
-18595.0,6,9544.358326
-51327.0,9,9579.212275
-12099.0,8,9607.829523
-23280.0,6,9634.789323
