#{"t_start": 1780240508.283513}
r,l,t
-127218.0,7,252.078168
-68326.0,6,481.464257
-80960.0,6,760.778679
-86357.0,8,1096.403983
-72687.0,7,1899.19635
-113229.0,9,4598.362809
-92058.0,9,5481.164121
-99432.0,7,6145.15833
-88478.0,8,6447.479127
-65632.0,7,6708.210191
-91024.0,7,6976.319697
-78202.0,6,7198.223849
-94949.0,9,7477.138842
-144682.0,8,7777.589672
-243648.0,8,8060.414742
-115374.0,7,8322.427774
-108187.0,8,8646.118901
-129355.0,8,8946.294239
-109850.0,8,9192.390804
-86560.0,7,9458.893552
-137556.0,7,9738.261097
-171553.0,8,10039.834116
-107930.0,6,10283.082408
-106086.0,8,10560.318597
-152129.0,8,10857.453342
-106079.0,8,11141.314789
-105482.0,10,11443.852365
-139383.0,7,11728.996131
-117264.0,11,12075.415191
-120160.0,8,12399.979814
-106437.0,14,12730.213311
-101123.0,12,13019.211322
-90658.0,6,13259.38977
-175227.0,12,13594.943206
-155535.0,8,13848.858308
-131547.0,11,14213.284851
-143686.0,8,14495.672364
-110566.0,8,14728.827411
-101664.0,11,14959.421496
-112673.0,11,15297.106371
-85309.0,10,15554.293213
-113488.0,9,15828.105677
-149540.0,8,16038.693665
-156973.0,9,16362.906418
-110532.0,8,16622.250568
-100804.0,8,16812.183382
-76022.0,14,17066.875212
-98462.0,8,17343.23829
-136931.0,11,17641.854174
-118123.0,9,17865.627426
-86948.0,12,18111.217855
-76122.0,10,18377.785926
-170500.0,13,18740.280651
-94415.0,8,19012.679571
-109519.0,16,19307.642814
-108995.0,13,19571.15477
-98451.0,9,19795.553994
-135666.0,11,20023.2322
-76723.0,12,20305.479975
-79427.0,12,20549.442508
-57804.0,12,20782.260657
-90400.0,12,21089.531784
-132018.0,12,21393.57026
-93595.0,9,21625.050783
-69038.0,7,21858.385563
-100341.0,10,22119.198245
-76855.0,8,22351.207875
-163100.0,12,22667.273508
-111922.0,12,22945.214847
-170373.0,8,23175.945551
-103682.0,13,23417.227894
-109379.0,15,23740.889156
-81800.0,12,23992.22604
-114386.0,15,24274.988067
-76636.0,14,24529.685285
-83320.0,13,24805.217308
-72264.0,21,25100.737195
-150543.0,13,25412.798856
-103213.0,20,25686.265263
-92768.0,13,25970.822356
-119251.0,12,26163.752128
-109104.0,11,26453.991265
-76324.0,17,26705.334868
-82366.0,11,26967.597034
-86004.0,18,27224.409393
-99004.0,14,27491.153672
-123842.0,17,27831.667965
-92031.0,20,28114.405459
-68179.0,20,28350.497914
-56312.0,20,28550.810154
-93599.0,21,28813.227354
-65053.0,15,29040.750301
-98768.0,16,29321.561525
-94048.0,12,29515.820615
-111833.0,17,29805.591564
-91334.0,20,30041.195347
-74546.0,24,30236.304447
-62631.0,22,30425.232198
-93218.0,21,30723.19439
-91193.0,20,30922.914954
-59592.0,24,31150.902172
-82302.0,23,31358.95959
-61575.0,24,31592.000047
-53543.0,28,31808.115874
-53214.0,28,32011.63185
-57554.0,24,32215.66011
-56904.0,24,32418.352829
-52576.0,28,32638.498528
-53178.0,27,32896.714413
-86976.0,16,33057.595311
-65863.0,16,33227.680037
-67380.0,14,33408.981245
-69053.0,9,33573.5916
-101979.0,16,33808.823367
-76309.0,7,33980.862737
-93952.0,7,34136.588495
-100044.0,7,34266.338923
-105666.0,8,34454.934643
-419890.0,14,34650.339507
-315743.0,11,34853.667657
-382343.0,19,35087.350628
-323947.0,19,35331.832508
-1581311.0,29,35622.607128
-819132.0,29,35898.386781
-1608106.0,34,36190.161434
-740387.0,19,36477.411204
-1313416.0,32,36763.295938
-957551.0,24,37065.609506
-1602660.0,34,37354.88523
-938758.0,24,37625.859814
-1601451.0,34,37949.422385
-692673.0,25,38222.677757
-762662.0,29,38511.596043
-852086.0,29,38839.228468
-1051203.0,24,39129.610254
-705941.0,22,39413.686927
-528906.0,24,39683.998959
-1331509.0,34,39979.725199
-1683020.0,34,40266.71577
-1365039.0,32,40554.584828
-839206.0,29,40852.754349
-1040069.0,29,41171.13485
-1140150.0,30,41436.094656
-1493578.0,33,41761.877659
-929137.0,24,42029.287052
-658521.0,29,50150.565963
-1116171.0,30,50475.23091
-1289926.0,29,50812.263806
-896404.0,24,51119.949068
-912249.0,29,51437.950284
-692539.0,24,51708.170807
-454127.0,24,52021.46188
-1410085.0,33,52334.379714
-1424480.0,33,52662.263066
-825928.0,29,52977.733407
-1149556.0,24,53259.501812
-872770.0,29,53563.912958
-1620008.0,34,53852.777245
-1235477.0,33,54186.023438
-618827.0,24,54444.569756
-756011.0,26,54702.911753
-448884.0,24,55001.853442
-1640378.0,34,55289.565782
-975227.0,29,55575.469165
-1110502.0,30,55845.48784
-1280073.0,29,56147.695909
-1644496.0,34,56428.093824
-751235.0,24,56687.160497
-904524.0,29,56968.37044
-1157441.0,29,57247.348664
-1220425.0,29,57530.753727
-1624105.0,34,57825.319549
-1093772.0,29,58133.511403
-1349413.0,29,58417.0983
-1112659.0,29,58676.69598
-1684217.0,34,58960.395973
-1129921.0,29,59229.797278
-1728711.0,34,59514.88075
-1707062.0,34,59798.846335
-1639822.0,34,60087.345954
-677457.0,26,60347.892932
-403958.0,20,60666.982744
-1660915.0,34,60994.846252
-1609503.0,34,61277.492053
-1637497.0,34,61564.196052
-1187465.0,29,61894.738519
-826147.0,29,62192.456802
-1536631.0,29,62490.524284
-1406968.0,29,62806.917718
-1052979.0,29,63151.689526
-1104745.0,29,63454.782519
-1480665.0,34,63806.277437
-381819.0,24,64066.228162
-551776.0,24,64341.952681
-671034.0,25,64583.398623
-635553.0,24,64890.976731
-669569.0,24,65185.578414
-934386.0,29,65516.286786
