#{"t_start": 1780240508.2864084}
r,l,t
-66639.0,9,342.406548
-122568.0,6,629.778078
-111909.0,9,985.897768
-129934.0,7,1269.588149
-134426.0,12,4896.880509
-116162.0,9,5555.667915
-199057.0,7,6185.423536
-96613.0,8,6466.711603
-144610.0,8,6781.206922
-195006.0,9,7120.512725
-70183.0,9,7400.662808
-104804.0,9,7732.299265
-69631.0,6,7977.003411
-118404.0,6,8165.220635
-189424.0,8,8468.559522
-122960.0,8,8782.050918
-179281.0,13,9213.777441
-249144.0,9,9548.731134
-77890.0,8,9856.994026
-169746.0,9,10222.315681
-137527.0,11,10600.901467
-80548.0,6,10838.243269
-81951.0,7,11079.052481
-130235.0,10,11394.054733
-75796.0,6,11623.917226
-97088.0,7,11880.685485
-134474.0,12,12305.321716
-97364.0,10,12588.489142
-92927.0,10,12817.001722
-75798.0,10,13089.664277
-115933.0,8,13409.33876
-134943.0,12,13706.150356
-91580.0,8,13969.636829
-157972.0,8,14249.222135
-117140.0,8,14519.653898
-84012.0,11,14806.843147
-127405.0,12,15117.8227
-92348.0,10,15425.561348
-112612.0,12,15686.271456
-190758.0,8,15936.624473
-73632.0,8,16185.249587
-154581.0,9,16537.955956
-123703.0,12,16842.733629
-80204.0,12,17022.343836
-163478.0,7,17267.342774
-128350.0,9,17515.250354
-67350.0,9,17751.673896
-118109.0,12,18050.228807
-90614.0,12,18319.097055
-116203.0,8,18524.317113
-123069.0,8,18775.110733
-58621.0,8,19027.373879
-91853.0,12,19283.494585
-133316.0,12,19434.07077
-119831.0,12,19769.279025
-98004.0,13,20063.674962
-89689.0,11,20290.617527
-127697.0,11,20527.605184
-79817.0,12,20761.656415
-97853.0,13,21073.029251
-126758.0,11,21324.369092
-71634.0,9,21599.590793
-113709.0,9,21877.675673
-152350.0,11,22182.779772
-86351.0,12,22441.219943
-177228.0,9,22771.445468
-71924.0,12,23010.280003
-65337.0,12,23285.138742
-82940.0,15,23550.173039
-126464.0,8,23795.167491
-101707.0,12,24030.182871
-127858.0,14,24303.613664
-110433.0,14,24573.125982
-95756.0,12,24790.052788
-75971.0,12,25001.044583
-78879.0,13,25192.67341
-79541.0,8,25401.248642
-88087.0,21,25671.592447
-100952.0,12,25938.090888
-90139.0,17,26259.570551
-66364.0,8,26478.53575
-75802.0,16,26688.087425
-143655.0,9,26936.963062
-74394.0,16,27176.24215
-107106.0,12,27386.79725
-167348.0,13,27690.522099
