#{"t_start": 1780240508.2847185}
r,l,t
-182165.0,12,439.527627
-87520.0,6,733.066658
-96504.0,8,1054.73339
-64679.0,8,2017.375652
-95993.0,7,4237.028066
-175653.0,8,5376.049698
-101679.0,8,6064.301978
-89033.0,8,6386.649696
-155042.0,9,6726.368555
-86198.0,9,7056.421319
-165502.0,10,7383.468841
-62638.0,6,7584.512302
-249078.0,9,7947.732355
-113121.0,9,8269.300221
-75454.0,8,8573.136487
-164961.0,9,8909.79256
-133696.0,8,9159.758649
-98341.0,7,9435.182223
-179158.0,7,9691.874288
-136426.0,6,9930.059976
-128151.0,9,10300.404002
-137175.0,7,10531.21417
-110617.0,9,10873.614973
-139192.0,8,11159.876799
-161252.0,9,11411.438855
-131428.0,8,11743.725451
-121913.0,8,11981.691101
-177175.0,7,12253.309287
-181086.0,8,12516.048707
-74058.0,12,12764.819278
-60430.0,10,13033.339506
-123853.0,7,13322.572322
-97438.0,13,13665.984103
-220308.0,8,13929.899745
-115668.0,8,14168.838504
-73412.0,8,14453.06494
-75479.0,8,14693.365459
-106941.0,13,15019.431403
-134465.0,9,15260.936432
-83762.0,10,15529.945502
-137744.0,9,15792.024192
-127075.0,12,16138.806462
-73450.0,6,16378.057013
-98820.0,9,16649.545715
-88584.0,12,16924.57836
-95865.0,12,17172.670045
-163171.0,13,17567.075015
-96829.0,9,17802.036771
-114193.0,12,18063.972381
-118196.0,11,18348.573747
-74409.0,12,18621.321961
-71314.0,9,18942.719718
-91854.0,14,19254.15316
-68980.0,14,19501.364796
-118328.0,12,19811.47159
-117556.0,14,20118.347692
-75589.0,16,20438.76043
-65237.0,13,20694.055498
-70685.0,12,20949.659504
-109108.0,11,21193.993872
-93825.0,8,21490.988286
-88202.0,10,21749.415246
-80677.0,8,22058.629316
-52052.0,10,22275.894701
-81402.0,11,22555.180831
-133677.0,8,22786.531944
-97328.0,12,23046.05412
-112096.0,12,23333.161526
-77551.0,16,23599.301328
-99835.0,8,23836.841466
-86894.0,12,24109.92274
-80640.0,14,24356.481896
-128624.0,12,24600.143936
-63372.0,12,24817.513224
-89327.0,16,25038.974294
-135967.0,13,25333.487768
-104330.0,16,25568.543762
-62537.0,12,25779.772861
-90686.0,17,26064.421264
-103067.0,9,26280.262702
-82992.0,18,26570.962128
-88248.0,10,26835.022606
-89162.0,15,27090.702573
-82446.0,16,27350.672586
-109379.0,11,27592.589725
-96199.0,20,27904.430728
-100868.0,16,28136.818878
-78885.0,16,28328.322241
-68006.0,20,28536.285475
-90173.0,20,28774.670075
-68278.0,16,28963.228743
-56837.0,12,29205.696495
-83226.0,14,29438.176864
-106210.0,16,29691.674839
-92720.0,12,29923.67863
-66323.0,24,30142.355287
-50208.0,28,30346.804897
-105957.0,16,30599.236358
-95065.0,20,30837.576798
-59780.0,24,31055.637639
-66128.0,24,31275.303236
-70106.0,20,31492.048462
-52553.0,28,31693.244224
-60824.0,24,31882.089285
-63810.0,24,32084.826661
-63962.0,24,32286.424382
-51638.0,28,32488.011379
-61315.0,24,32680.166239
-72288.0,20,32857.682431
-69347.0,21,33097.415421
-77744.0,22,33352.546697
-76790.0,12,33538.24772
-127835.0,12,33720.601674
-52818.0,9,33896.771799
-104422.0,8,34073.008765
-96045.0,12,34306.001381
-183472.0,9,34507.871011
-475448.0,15,34723.954688
-786696.0,22,35051.006875
-764098.0,18,35234.044177
-197588.0,14,35454.34134
-1665496.0,34,35738.92305
-1444616.0,29,36019.714359
-534997.0,23,36270.580169
-354308.0,15,36469.108787
-1492331.0,33,36783.994731
-915519.0,24,37069.147148
-1717737.0,34,37358.323119
-713719.0,24,37629.33054
-816620.0,24,37872.702363
-1333814.0,32,38175.532618
-917308.0,29,38486.274552
-1041148.0,29,38812.473224
-302327.0,19,39057.591103
-1020435.0,29,39389.464949
-1043652.0,24,39673.693601
-1063673.0,29,39935.627441
-1652911.0,34,40218.315988
-1500644.0,34,40506.051226
-1026181.0,29,40818.418386
-678655.0,29,41141.36829
-1715968.0,34,41457.210899
-1559910.0,33,41782.861605
-1630024.0,34,42119.232904
-463829.0,24,50175.524395
-556956.0,24,50447.96457
-1545854.0,29,50803.040084
-1072114.0,29,51165.611179
-1001920.0,29,51476.759521
-1240343.0,29,51806.438456
-847772.0,24,52099.208831
-1712157.0,34,52439.586116
-1046714.0,29,52748.929972
-710800.0,24,53013.928427
-1045666.0,29,53341.936334
-1273874.0,34,53655.46926
-1670486.0,34,53941.639852
-736808.0,24,54206.029449
-848160.0,29,54508.741408
-822963.0,29,54827.91909
-1131616.0,24,55090.338122
-1684973.0,34,55377.663303
-1469485.0,29,55661.703671
-788381.0,29,55945.342467
-1331599.0,29,56221.961795
-1617608.0,34,56508.47616
-814965.0,24,56762.036496
-795052.0,29,57052.895653
-700211.0,25,57316.88077
-1609668.0,34,57620.007188
-897967.0,29,57889.499167
-1134792.0,29,58176.97361
-1471824.0,29,58460.403366
-1338764.0,29,58719.68818
-1683439.0,34,59004.779612
-1417627.0,34,59313.154632
-1502103.0,34,59595.14764
-1632664.0,34,59881.078028
-1679457.0,34,60177.232004
-602252.0,22,60446.773389
-577082.0,24,60789.966007
-1614880.0,34,61078.86082
-1573167.0,34,61366.45979
-1652211.0,34,61687.696762
-1164769.0,29,61987.079271
-640832.0,24,62274.965838
-1050603.0,29,62559.177759
-1073267.0,29,62858.969634
-1413449.0,29,63199.899795
-1044855.0,29,63508.934621
-976388.0,29,63809.724642
-673593.0,29,64108.049615
-1095597.0,29,64425.610852
-1102070.0,29,64766.172947
-791112.0,24,65066.256016
-703978.0,24,65345.651669
-1603486.0,29,65641.540865
