#{"t_start": 1781505506.819457}
r,l,t
-295438.0,8,501.108149
-192388.0,7,937.820547
-240743.0,6,1340.369754
-125761.0,8,1819.415414
-112359.0,6,2227.672832
-138722.0,8,2669.025471
-147804.0,7,3114.111344
-127103.0,6,3509.103111
-112830.0,8,4018.054401
-144385.0,6,4430.5964
-238093.0,6,4831.364592
-89426.0,6,5225.264067
-112384.0,7,5704.591341
-231788.0,6,6125.41251
-133418.0,6,6481.025153
-146310.0,7,6902.890498
-182331.0,6,7244.17143
-128000.0,6,7657.725514
-154611.0,7,8149.124639
-117591.0,6,8530.415146
-148347.0,6,8898.369793
-145468.0,7,9352.408728
-255146.0,8,9794.817094
-267523.0,9,10253.136962
-172925.0,7,10724.142348
-245902.0,7,11116.697691
-284866.0,9,11552.74657
-129713.0,7,12044.533723
-149249.0,8,12546.153249
-201010.0,9,12936.771308
-148419.0,8,13428.035765
-215369.0,8,13858.251076
-236895.0,9,14334.222308
-152536.0,8,14792.544435
-182312.0,6,15208.671975
-222424.0,10,15673.617529
-225156.0,10,16091.951415
-179649.0,7,16515.520401
-152510.0,9,16957.454126
-250076.0,8,17431.021214
-119563.0,7,17848.552253
-174157.0,7,18246.997341
-161067.0,12,18722.668933
-150198.0,8,19161.648519
-179928.0,8,19667.11672
-123238.0,6,20068.171937
-160645.0,8,20546.447902
-183190.0,7,20932.940962
-207310.0,12,21492.745557
-164456.0,10,21970.016659
-137378.0,9,22414.907522
-148886.0,7,22804.479358
-177858.0,9,23256.728021
-142569.0,9,23707.503371
-179937.0,7,24174.884147
-149122.0,10,24743.950164
-112577.0,8,25155.076829
-168735.0,8,25514.34346
-128424.0,8,25959.291068
-163225.0,9,26305.538363
-178314.0,12,26809.82954
-107572.0,11,27333.894837
-134365.0,8,27724.934412
-160672.0,12,28161.126238
-139844.0,8,28544.236593
-161178.0,12,28945.573446
-102375.0,7,29362.734504
-142912.0,10,29787.914225
-124790.0,12,30227.600747
-153920.0,11,30652.012388
-149118.0,8,31089.379221
-123604.0,14,31493.512838
-126451.0,10,31906.112081
-182303.0,8,32285.040139
-193664.0,7,32680.307363
-166392.0,12,33020.605208
-97490.0,12,33383.198287
-249046.0,13,33951.820797
-183001.0,16,34437.217335
-154875.0,8,34831.985989
-173061.0,11,35271.94571
-121754.0,9,35658.069782
-131450.0,11,36124.150912
-173804.0,12,36513.918005
-162647.0,12,36862.702875
-109854.0,13,37265.758469
-184094.0,16,37619.2599
-174523.0,12,38068.725169
-161449.0,12,38500.182157
-155423.0,12,38924.976162
-221885.0,9,39369.290371
-174567.0,20,39804.762457
-157001.0,12,40216.755224
-165351.0,11,40619.912586
-143980.0,16,40976.673471
-145410.0,20,41369.785018
-174980.0,12,41726.173786
-154235.0,12,42123.405347
-150781.0,24,42538.595116
-175877.0,11,42962.40271
-180029.0,16,43425.537888
-171958.0,12,43813.821862
-143118.0,12,44176.42665
-199747.0,12,44611.885122
-158790.0,16,44969.53721
-198562.0,12,45318.580776
-110659.0,20,45735.713607
-111229.0,20,46117.356986
-137788.0,14,46544.608325
-120204.0,20,46914.076684
-153099.0,16,47275.969004
-190114.0,15,47703.165381
-128523.0,24,48074.586973
-140108.0,23,48511.259698
-121155.0,24,48885.808266
-125363.0,24,49258.256841
-127042.0,24,49620.938541
-129039.0,24,49993.119507
-123458.0,28,50395.844407
-145479.0,24,50745.011314
-133096.0,24,51117.386519
-134502.0,28,51530.507882
-130486.0,28,51902.50612
-115942.0,24,52275.807538
-123444.0,28,52741.574831
-124617.0,25,53462.340117
-120756.0,24,54363.586807
-123855.0,28,55453.862247
-125510.0,28,56543.317128
-125227.0,28,57341.647647
-147923.0,24,57978.506735
-114935.0,20,58498.39895
