#{"t_start": 1781505506.8157763}
r,l,t
-140698.0,8,430.06875
-256845.0,6,793.422762
-120607.0,6,1210.335978
-99530.0,6,1585.951751
-223495.0,8,2098.941631
-111904.0,6,2480.474469
-147501.0,7,2883.141431
-166767.0,8,3409.973126
-150174.0,6,3764.487671
-233541.0,7,4232.411762
-138691.0,6,4624.878821
-186456.0,8,5152.866095
-212582.0,7,5650.797559
-160276.0,6,6071.765411
-157328.0,8,6561.953385
-143218.0,8,7041.62636
-259968.0,8,7542.721256
-164024.0,8,8085.657861
-133962.0,7,8558.764077
-216593.0,9,9141.77541
-123759.0,9,9614.787339
-152934.0,7,10019.361702
-146415.0,8,10480.756827
-116161.0,6,10887.264776
-137209.0,8,11288.860872
-140764.0,8,11711.932585
-144683.0,6,12145.756474
-169591.0,7,12573.220763
-192200.0,10,12974.767485
-134940.0,6,13372.156142
-159595.0,7,13803.402946
-124883.0,9,14206.782541
-137370.0,6,14602.026686
-128014.0,9,15153.944468
-299323.0,9,15538.685516
-159708.0,10,15994.192024
-145679.0,7,16425.469527
-185317.0,9,16868.19904
-200661.0,9,17365.434537
-132911.0,6,17729.224943
-157348.0,6,18089.898045
-350638.0,13,18595.320103
-154145.0,6,18985.55881
-201566.0,9,19429.656906
-149598.0,7,19933.237113
-144115.0,9,20462.833049
-203919.0,9,21017.649957
-230831.0,9,21372.399972
-169880.0,9,21841.389106
-178290.0,9,22281.51488
-222763.0,8,22718.653096
-202463.0,9,23159.446559
-244980.0,8,23567.2011
-161502.0,6,23932.304258
-138769.0,6,24306.312148
-93948.0,7,24675.327078
-131418.0,7,25062.406269
-120441.0,11,25552.551497
-186943.0,8,25979.27167
-114228.0,9,26408.478208
-171602.0,11,26838.739166
-142981.0,9,27202.696871
-142424.0,8,27642.561126
-196944.0,13,28107.757096
-210524.0,8,28496.744614
-121887.0,12,28935.813132
-105587.0,8,29391.254869
-151919.0,12,29821.775606
-217668.0,10,30254.124165
-142512.0,12,30686.702178
-163091.0,7,31117.339766
-102035.0,15,31527.862233
-142506.0,9,31932.737576
-151664.0,8,32312.573785
-189396.0,12,32815.958451
-139739.0,14,33272.875208
-120223.0,13,33645.473784
-154256.0,12,34131.475129
-162568.0,11,34527.36663
-114665.0,9,34925.14319
-194175.0,9,35362.773317
-109081.0,10,35780.868509
-118584.0,13,36193.529981
-138682.0,9,36555.027527
-141384.0,14,36937.031533
-97463.0,10,37291.620542
-137089.0,18,37708.227565
-175589.0,12,38162.096497
-169083.0,12,38598.098313
-112350.0,10,38951.015216
-168631.0,8,39299.940786
-121703.0,20,39753.412911
-216369.0,12,40173.299418
-247867.0,12,40628.365561
-148503.0,16,40984.409894
-141910.0,16,41310.740619
-184648.0,12,41635.323708
-200270.0,12,42072.913508
-131799.0,24,42440.884918
-146816.0,12,42840.966257
-187029.0,15,43271.927581
-136935.0,14,43746.309628
-112119.0,13,44133.484552
-176608.0,12,44549.619179
-159060.0,17,44994.817034
-166828.0,13,45396.39477
-149720.0,20,45795.496475
-129359.0,24,46191.111838
-212435.0,12,46615.228711
-122449.0,20,46987.135178
-123218.0,18,47370.137051
-153697.0,16,47813.19437
-119616.0,24,48174.876965
-152349.0,20,48566.385829
-135857.0,27,48973.325677
-122108.0,28,49381.103447
-128688.0,20,49700.604597
-125455.0,28,50106.038707
-129148.0,24,50469.135826
-120876.0,28,50874.557583
-121027.0,24,51245.428758
-133381.0,24,51610.898885
-127685.0,28,51996.007488
-148065.0,24,52387.018889
-110643.0,20,52718.261057
-100250.0,14,53007.344631
-79918.0,8,53240.970629
-132827.0,8,53591.692667
-172185.0,8,53889.358099
-138896.0,7,54168.541555
-113196.0,7,54429.621546
-149549.0,7,54678.267723
-120269.0,6,54954.979887
-254477.0,9,55278.42078
-151195.0,6,55520.581448
-137246.0,6,55760.215441
-161959.0,7,56025.412442
-150120.0,6,56279.626576
-225882.0,6,56494.842335
-183595.0,9,56753.304051
-125177.0,7,56992.602929
-496362.0,16,57441.952915
-235791.0,9,57737.976378
-677565.0,17,58119.637776
-351466.0,13,58458.759118
-483553.0,14,58762.045457
-1082720.0,29,59185.044989
-1115393.0,29,59622.51512
-1882744.0,34,60058.391412
-891638.0,29,60520.651041
-1702218.0,29,60972.780919
-443780.0,19,61430.575728
-622366.0,19,61834.986154
-824939.0,19,62261.911371
-1037035.0,24,62728.410316
-1888063.0,34,63164.267046
-605319.0,19,63519.557967
-1827782.0,34,64031.643881
-1791582.0,34,64462.608814
-547603.0,23,64894.548538
-1851000.0,34,65330.129048
-604538.0,21,65734.608982
-1317000.0,30,66140.167101
-1128450.0,29,66616.205661
-900109.0,24,67038.545063
-1477423.0,34,67493.548263
-1037675.0,24,67929.409333
-797988.0,24,68359.507545
-1138808.0,29,68812.66012
-1347763.0,29,69248.334099
-1912618.0,34,69673.095006
-851504.0,24,70094.85715
-1855768.0,29,70532.782195
-1747214.0,34,71018.610781
-1054045.0,29,71441.757709
-1119156.0,29,71870.122254
-1806600.0,34,72293.68276
-1217657.0,29,72712.222409
-861660.0,29,73176.774649
-1422497.0,33,73704.271621
-1832271.0,34,74181.129341
-1137272.0,26,74566.62518
-1828044.0,34,75020.767751
-1794689.0,34,75443.972553
-1249134.0,29,75874.964108
-1132213.0,29,76311.801656
-1164360.0,29,76739.759519
-1041347.0,24,77162.001939
-1865169.0,34,77582.433552
-964439.0,29,78011.9464
-1805081.0,34,78443.660985
-1853405.0,34,78931.543573
-1854860.0,34,79351.005423
-777506.0,24,79746.361066
-1813292.0,34,80167.90067
-534488.0,19,80551.252255
-1696949.0,29,80979.542501
-1599990.0,29,81391.338303
-642173.0,24,81826.870639
-1146072.0,29,82241.608121
-1861529.0,29,82666.134871
-1661774.0,33,83103.713274
-934647.0,24,83550.577554
-380532.0,21,83956.107811
-1247020.0,29,84478.937899
-1839899.0,34,84919.087582
-1861297.0,29,85365.478616
-1712442.0,29,85801.7255
-1134484.0,29,86204.254279
-1657939.0,29,86700.415391
-1814559.0,34,87155.09877
-1783746.0,34,87587.097965
-1881585.0,34,88027.82562
-849478.0,24,88459.995309
-1880352.0,29,88887.422188
-1135308.0,29,89299.164797
-809151.0,24,89740.93344
-1159935.0,24,90166.400898
-1509674.0,29,90591.980862
