#{"t_start": 1781505506.8183386}
r,l,t
-170983.0,8,471.555439
-118464.0,8,979.815896
-150872.0,6,1405.268124
-130896.0,6,1767.856713
-152362.0,6,2149.557584
-105306.0,8,2598.71608
-111882.0,6,2999.056788
-116016.0,6,3362.489729
-179454.0,7,3810.735359
-137653.0,6,4188.24911
-247919.0,9,4800.535361
-212935.0,6,5201.119468
-144692.0,6,5593.640977
-163635.0,6,6020.445521
-239128.0,7,6457.76185
-222026.0,8,6980.247827
-135540.0,7,7381.205362
-155323.0,6,7779.099073
-117482.0,7,8231.208436
-103426.0,7,8714.451504
-175326.0,6,9099.330306
-158913.0,6,9437.196951
-153136.0,7,9853.384964
-330986.0,9,10322.013673
-156846.0,7,10793.428298
-358912.0,9,11259.899614
-197850.0,8,11673.075108
-96970.0,6,12109.062086
-127147.0,7,12520.994449
-341001.0,11,13018.258796
-138996.0,6,13401.157228
-297220.0,9,13866.768731
-203396.0,8,14307.605016
-234883.0,7,14722.280789
-160546.0,8,15255.854416
-158029.0,9,15644.865869
-297374.0,9,16024.064672
-111433.0,7,16450.366651
-233475.0,9,16898.563232
-325053.0,9,17399.077915
-159328.0,9,17942.322833
-150115.0,6,18307.817221
-164540.0,11,18698.712422
-98146.0,8,19137.90129
-252989.0,8,19639.9722
-144769.0,8,20087.643456
-117357.0,6,20519.083078
-209341.0,8,20991.941246
-157809.0,10,21422.491915
-127932.0,7,21770.63127
-130020.0,8,22116.490118
-191881.0,7,22531.58914
-169254.0,9,22962.693086
-198254.0,11,23514.85385
-141510.0,7,23979.620029
-144155.0,8,24438.340999
-80529.0,8,24875.667527
-189316.0,8,25313.216833
-117118.0,9,25708.907763
-160651.0,9,26105.926537
-185346.0,11,26581.57708
-146190.0,9,26986.471019
-159277.0,10,27409.578615
-225469.0,8,27810.486593
-147671.0,10,28208.375525
-149660.0,12,28634.672904
-150447.0,8,28984.500524
-165665.0,8,29434.899117
-133961.0,12,29840.583305
-117630.0,8,30206.214236
-193284.0,11,30626.965895
-204326.0,8,31065.363245
-133936.0,14,31471.517991
-225649.0,11,31965.684377
-119124.0,8,32342.255643
-149099.0,8,32750.940022
-151366.0,16,33163.937304
-149821.0,9,33566.059479
-151068.0,12,33999.703833
-134260.0,14,34414.545121
-144297.0,8,34805.363662
-154004.0,11,35243.192001
-199565.0,11,35747.635472
-188105.0,12,36158.76728
-145021.0,12,36593.487368
-160939.0,16,37028.183391
-167744.0,16,37436.501493
-92347.0,12,37831.183111
-155701.0,11,38267.700721
-115758.0,12,38661.090217
-89805.0,9,39054.545927
-172055.0,12,39478.819099
-109222.0,16,39840.033835
-131078.0,12,40228.420592
-187697.0,10,40595.610338
-188788.0,16,40971.254416
-138487.0,20,41364.471002
-158286.0,12,41721.48072
-270905.0,16,42165.868912
-174478.0,24,42677.941542
-155879.0,12,43135.833896
-124363.0,16,43490.526759
-171272.0,11,43966.975677
-158799.0,13,44330.021036
-113019.0,12,44713.943307
-139896.0,16,45125.501045
-131133.0,12,45460.423561
-146806.0,19,45878.049381
-130447.0,26,46274.515128
-219512.0,12,46703.53074
-153224.0,22,47158.487478
-200950.0,20,47608.506191
-128955.0,24,48054.395196
-145109.0,20,48386.494007
-132112.0,20,48766.042442
-139902.0,24,49137.947868
-126094.0,28,49512.836352
-120375.0,24,49930.523707
-147506.0,24,50285.745621
-147052.0,24,50641.070339
-125724.0,28,51008.317875
-127262.0,24,51379.981397
-124622.0,24,51736.920559
-138317.0,27,52141.485507
-124605.0,28,52583.631362
-122994.0,28,53191.719724
-127974.0,20,54003.956007
-120350.0,24,54920.254832
-138456.0,24,55822.682473
-130525.0,28,56815.682946
-138227.0,27,57625.635099
-126391.0,28,58284.179219
-123708.0,28,58870.239687
-129081.0,24,59247.963503
-125205.0,24,59612.176617
-128278.0,28,59959.438457
-135404.0,28,60347.409389
-159940.0,20,60721.549301
-125523.0,28,61153.233138
-145393.0,12,61510.46534
-128756.0,16,61877.911208
-122856.0,20,62291.413595
-146219.0,19,62679.952211
-127724.0,28,63044.068418
-130974.0,20,63390.427463
-139004.0,24,63741.073346
-123661.0,24,64098.467159
-126057.0,28,64467.267772
-175242.0,16,64812.911096
-124550.0,28,65158.644822
-115110.0,25,65510.931053
-139510.0,20,65866.744177
-127476.0,24,66244.417915
-142455.0,24,66626.33108
-133678.0,21,66992.411287
-130218.0,24,67328.743802
-155124.0,24,67682.095621
-153472.0,24,68102.922572
-137034.0,23,68511.462074
-133876.0,24,68877.734905
-125308.0,24,69255.25904
-123122.0,28,69608.721641
-135535.0,24,69975.007619
-132626.0,20,70336.181246
-143093.0,24,70695.117465
-130029.0,28,71062.77399
-119873.0,24,71407.356817
-133320.0,24,71783.855891
-120461.0,28,72139.870809
-120037.0,28,72484.219061
-142751.0,21,72838.232086
-148273.0,23,73218.271233
-117110.0,20,73543.670846
-124882.0,28,73895.903098
-133718.0,24,74239.507791
-126194.0,20,74617.488841
-126069.0,28,74956.442389
-123736.0,28,75300.340477
