#{"t_start": 1781505506.8169117}
r,l,t
-270001.0,6,313.557162
-283404.0,8,823.714685
-188997.0,8,1377.204234
-127630.0,6,1742.274893
-133706.0,8,2262.317245
-183415.0,7,2640.368424
-109440.0,7,3077.583072
-139744.0,7,3548.141028
-163255.0,6,3921.216975
-139678.0,7,4387.449457
-201348.0,6,4796.218744
-138142.0,8,5294.999879
-188131.0,6,5736.163394
-104035.0,6,6154.157092
-83195.0,7,6585.666094
-98114.0,6,6955.562278
-196330.0,9,7477.133431
-187519.0,6,7870.694248
-114301.0,6,8280.218213
-171847.0,6,8688.592113
-88186.0,7,9165.989268
-120876.0,8,9559.119941
-275224.0,8,10042.509514
-143894.0,8,10508.677482
-145104.0,7,10972.553141
-305238.0,10,11435.856795
-137798.0,8,11918.90706
-209819.0,7,12348.93922
-213121.0,9,12757.750561
-166165.0,9,13319.319119
-109515.0,6,13651.619431
-189053.0,9,14101.089957
-140133.0,8,14628.497082
-214675.0,8,15081.001297
-209902.0,9,15490.453321
-269439.0,9,15920.547968
-123975.0,8,16376.866304
-138267.0,9,16794.571664
-188910.0,9,17281.05831
-175992.0,7,17753.81737
-187003.0,9,18281.424713
-252212.0,12,18759.157597
-167412.0,8,19204.851966
-163686.0,7,19614.148403
-153258.0,6,20019.19601
-144125.0,8,20493.358345
-167681.0,8,20967.747454
-226692.0,11,21461.488715
-174662.0,8,21866.000698
-220633.0,9,22285.950601
-111335.0,6,22656.948443
-178223.0,10,23118.655934
-241678.0,9,23592.49342
-171111.0,7,24034.637226
-154675.0,7,24433.132511
-157011.0,8,24851.189636
-106963.0,6,25187.115772
-126569.0,10,25631.255256
-163688.0,8,26018.321632
-138272.0,8,26431.942358
-184265.0,11,26864.440265
-185475.0,9,27229.846667
-186313.0,8,27667.799933
-155218.0,12,28073.721938
-196519.0,8,28467.06281
-159232.0,12,28885.147672
-154030.0,8,29332.940114
-154840.0,8,29667.916074
-161288.0,11,30078.866494
-231121.0,12,30509.185608
-134533.0,8,30905.273817
-171001.0,16,31447.386338
-160919.0,10,31853.139317
-141274.0,8,32275.693881
-148113.0,7,32630.434181
-138677.0,16,33070.060263
-195511.0,10,33488.779535
-139623.0,11,33902.45357
-122469.0,12,34308.724913
-169297.0,12,34780.831654
-123207.0,12,35324.882487
