#{"t_start": 1780925953.7683725}
r,l,t
-102966.0,6,162.923637
-142738.0,8,382.037975
-100349.0,8,587.471631
-98505.0,6,748.188417
-127140.0,6,904.753453
-170596.0,7,1095.11577
-117135.0,7,1287.223169
-73093.0,8,1469.937674
-174062.0,8,1662.756236
-121284.0,6,1852.319228
-127099.0,7,2046.55023
-110130.0,9,2285.567588
-76111.0,6,2458.734284
-74112.0,6,2635.307918
-77978.0,6,2802.911906
-63970.0,6,2969.49363
-89732.0,7,3149.81027
-85789.0,7,3342.923325
-126482.0,7,3542.608645
-86294.0,7,3729.135692
-132898.0,9,3963.079774
-78435.0,8,4171.251981
-66764.0,7,4367.796386
-119154.0,7,4536.339527
-114698.0,7,4701.534931
-92693.0,6,4864.810462
-126565.0,7,5047.238037
-117482.0,7,5217.574286
-96674.0,8,5418.545681
-98546.0,8,5610.436394
-201142.0,9,5809.193286
-99448.0,7,6004.260114
-192426.0,9,6212.602679
-178072.0,8,6411.507684
-128425.0,7,6593.209475
-169873.0,7,6776.232692
-193799.0,9,6991.462947
-112335.0,9,7159.100899
-211682.0,11,7385.968547
-65103.0,7,7553.981955
-122745.0,9,7779.533241
-92723.0,10,8045.739186
-102730.0,6,8220.413502
-149505.0,7,8399.590082
-88657.0,7,8571.700064
-163498.0,9,8764.243278
-169688.0,10,8958.781314
-118054.0,9,9089.896138
-90524.0,10,9267.062731
-65817.0,6,9429.724224
-85770.0,7,9604.310915
-87841.0,7,9780.10288
-81818.0,10,9970.940704
-107289.0,7,10135.945928
-95827.0,12,10322.254796
-72164.0,8,10496.776501
-117138.0,8,10644.406773
-107857.0,8,10851.867241
-86262.0,12,11014.342085
-65583.0,12,11180.084629
-115897.0,12,11397.669317
-199108.0,7,11579.008221
-118087.0,9,11740.06112
-77698.0,12,11921.08038
-84517.0,8,12068.611307
-67943.0,7,12245.116113
-81802.0,8,12372.181961
-123806.0,9,12536.962032
-104163.0,9,12710.743058
-149303.0,7,12889.732332
-104874.0,8,13073.526308
-97396.0,10,13231.467914
-97927.0,11,13406.715399
-138320.0,10,13598.177225
-63439.0,12,13783.363112
-109665.0,14,13927.668535
-106378.0,11,14091.367106
-119737.0,12,14253.439053
-71789.0,8,14409.036772
-66732.0,12,14561.87419
-114785.0,13,14751.200639
-128845.0,9,14906.096388
-69036.0,12,15090.57257
-105854.0,15,15238.994966
-85960.0,12,15402.501316
-103413.0,12,15546.62304
-78679.0,11,15685.874848
-66717.0,16,15833.388237
-53565.0,16,15982.515486
-91062.0,11,16159.897945
-57163.0,17,16320.307523
-104204.0,12,16514.780259
-67493.0,14,16653.33697
-81922.0,12,16819.845399
-63504.0,20,16975.659921
-74057.0,16,17118.900553
-74624.0,20,17277.731046
-104116.0,17,17401.265612
-75752.0,12,17549.982253
-58119.0,13,17720.456572
-80320.0,12,17858.537822
-86337.0,16,17984.06867
-97714.0,15,18153.20874
-65866.0,17,18307.870265
-57887.0,23,18477.447072
-86646.0,12,18629.308105
-80656.0,16,18780.442394
-70136.0,20,18908.592522
