#{"t_start": 1780925953.7674613}
r,l,t
-136507.0,6,151.226251
-69475.0,8,370.123646
-137960.0,8,576.027856
-49658.0,7,767.071097
-182409.0,7,944.881688
-80446.0,6,1119.809413
-114692.0,7,1307.324997
-106267.0,6,1454.98885
-66571.0,6,1606.889265
-129402.0,6,1748.129717
-120334.0,9,2009.596987
-146346.0,9,2243.645825
-88422.0,6,2417.917501
-139891.0,7,2624.156514
-69079.0,6,2792.672394
-92190.0,6,2959.691018
-66843.0,7,3139.519206
-84915.0,6,3303.605754
-108476.0,8,3530.492091
-127874.0,7,3718.21259
-209372.0,8,3920.287229
-183247.0,7,4100.67252
-105658.0,6,4287.320134
-73425.0,8,4476.042333
-98200.0,8,4660.848969
-194287.0,8,4895.08611
-101826.0,7,5075.945679
-91851.0,7,5241.328318
-76757.0,7,5408.648183
-121520.0,8,5599.064483
-129528.0,9,5806.450963
-152607.0,8,6035.926107
-115087.0,9,6243.758639
-147303.0,8,6441.99332
-167341.0,8,6643.929119
-106463.0,8,6871.327645
-127586.0,11,7061.533593
-142606.0,8,7247.242518
-144323.0,9,7431.056923
-111514.0,7,7612.467477
-58707.0,8,7807.891125
-128465.0,6,7960.175625
-128397.0,7,8150.781115
-112484.0,6,8330.72476
-184493.0,8,8522.430723
-96069.0,8,8691.260804
-156217.0,9,8868.015476
-107806.0,9,9031.199364
-155325.0,8,9151.333036
-153925.0,8,9320.934788
-114501.0,6,9476.978961
-66458.0,6,9617.355405
-111236.0,7,9818.278104
-98179.0,10,9985.835121
-120701.0,7,10167.647997
-68043.0,12,10341.950858
-69635.0,8,10516.790482
-92565.0,8,10673.388422
-121218.0,7,10840.348941
-125096.0,12,11005.019364
-101775.0,12,11170.19383
-87201.0,12,11386.987644
-69564.0,7,11565.137113
-69263.0,12,11768.426397
-62308.0,10,11945.023661
-71253.0,8,12093.358324
-99506.0,7,12267.16914
-139075.0,12,12479.246494
-103009.0,12,12670.382582
-120757.0,7,12851.681226
-67189.0,8,13032.765185
-107903.0,11,13222.507115
-88160.0,11,13396.124889
-91660.0,9,13552.659214
-119681.0,8,13709.451117
-87306.0,12,13872.957242
-74440.0,12,14007.623066
-89561.0,13,14160.561188
-110703.0,12,14366.45733
-85529.0,12,14537.087063
-99355.0,11,14670.974446
-125584.0,8,14838.779035
-129956.0,12,15012.161733
-73633.0,16,15158.90997
-84925.0,11,15324.612631
-67950.0,12,15478.670928
-82854.0,13,15631.795147
-81774.0,16,15821.265519
-83789.0,16,15948.833042
-50975.0,9,16074.448566
-80889.0,12,16233.486045
-80768.0,11,16376.436827
-91316.0,16,16557.951923
-76656.0,11,16704.709884
-93384.0,12,16855.480828
-52228.0,24,17004.49693
-104426.0,15,17167.75347
-48902.0,20,17308.457236
-134097.0,16,17477.693117
-60508.0,12,17624.728482
-94828.0,12,17770.618067
-59857.0,20,17931.809814
-86952.0,13,18060.008416
-65762.0,16,18237.881849
-70141.0,14,18374.071056
-66491.0,20,18520.422637
-72987.0,12,18668.498028
-60431.0,17,18807.864947
-52010.0,23,18951.702099
-77864.0,20,19095.705031
-76438.0,16,19219.979511
-53458.0,24,19366.670893
-49408.0,28,19511.42286
-54809.0,24,19637.670924
-46200.0,28,19766.359448
-61578.0,16,19881.870696
-46451.0,26,20023.861094
-44368.0,28,20167.185683
-54017.0,20,20280.526007
-48780.0,20,20383.883786
-61261.0,15,20519.218846
-46390.0,9,20614.396672
-85484.0,6,20706.882631
-58611.0,12,20810.261068
-71765.0,8,20901.862347
-80114.0,8,21010.136674
-52840.0,8,21119.109593
-81829.0,6,21216.493778
-107603.0,7,21330.364524
-47134.0,9,21460.928832
-102585.0,6,21567.757568
-99489.0,7,21680.085695
-98359.0,8,21794.256483
-86557.0,6,21906.162742
-140125.0,7,22013.595118
-236644.0,9,22145.254015
-583762.0,19,22298.290034
-582109.0,19,22454.097274
-757332.0,24,22620.03748
-684764.0,24,22786.608011
-672783.0,24,22966.766248
-1300971.0,34,23151.273917
-1336607.0,34,23337.616395
-1211603.0,29,23520.367934
-1072289.0,33,23723.341057
-921615.0,24,23907.740904
-1203717.0,33,24098.58632
-1153187.0,29,24323.280923
-449297.0,24,24497.608604
-836248.0,29,24668.922236
-998158.0,29,24860.549331
-1320047.0,34,25046.063662
-658610.0,29,25217.043223
-535368.0,24,25389.38141
-562651.0,24,25558.323213
-1140914.0,29,25722.414358
-438980.0,19,25898.356252
-524331.0,27,26080.021977
-1053652.0,32,26273.072749
-997138.0,27,26473.434153
-913538.0,29,26667.913716
-711663.0,24,26823.563927
-599578.0,24,27011.604496
-456219.0,18,27186.107769
-862904.0,32,27400.027518
-608274.0,29,27593.831816
-643152.0,29,27784.199642
-869119.0,29,27988.840191
-343461.0,24,28159.65905
-611063.0,24,28332.100825
-153746.0,19,28510.943601
-1038486.0,31,28687.142771
-534029.0,24,28872.038478
-1069266.0,29,29046.760983
-430505.0,24,29237.636961
-676528.0,24,29427.479131
-1262451.0,29,29612.176251
-1342540.0,34,29799.596992
-1324364.0,34,29982.324715
-1313283.0,34,30168.214567
-1335161.0,34,30355.052793
-660853.0,29,30548.276205
-1334369.0,34,30745.894806
-418248.0,19,30914.043676
-864945.0,29,31094.330256
-1123162.0,29,31272.663234
-631520.0,24,31436.538718
-1227990.0,29,31617.696104
-1036055.0,24,31776.383455
-1316676.0,34,31962.274185
-854793.0,29,32178.509632
-418953.0,19,32328.251085
-1305567.0,34,32533.628409
-249098.0,19,32676.001247
-407724.0,24,32841.156399
-666201.0,29,33021.994435
-1278132.0,29,33208.068902
-1315146.0,34,33411.574232
-1213421.0,29,33584.468988
-1331113.0,34,33767.151396
-1284060.0,34,33953.229198
-691933.0,28,34141.428742
-913940.0,29,34349.777299
-984781.0,29,34550.638877
-537154.0,26,34716.990278
-712646.0,29,34933.962089
-728109.0,26,35134.062974
-1320013.0,34,35343.721051
-887941.0,27,35522.482988
-775187.0,29,35720.128743
-778863.0,28,35901.16849
-619563.0,27,36100.781924
-676689.0,24,36314.258602
-311134.0,19,36489.763167
-1323469.0,29,36663.584586
-329393.0,19,36834.258178
-497528.0,22,37009.022907
-1033180.0,29,37227.394904
-790380.0,19,37428.088975
