#{"t_start": 1780925953.7699366}
r,l,t
-85313.0,7,204.540737
-86377.0,6,359.730556
-98212.0,6,500.805673
-141913.0,6,675.983567
-154564.0,7,851.555137
-84688.0,6,1022.167839
-93015.0,6,1192.204666
-134302.0,8,1392.899879
-107481.0,8,1594.443255
-137177.0,7,1778.18826
-73511.0,7,1959.821374
-113726.0,6,2142.099887
-133498.0,7,2328.056421
-87011.0,7,2518.316205
-62710.0,6,2699.581034
-102519.0,6,2868.957112
-85935.0,6,3033.105216
-86600.0,7,3212.970406
-140084.0,7,3406.839673
-177203.0,6,3586.272197
-91032.0,9,3837.918314
-147090.0,8,4027.526347
-137231.0,7,4228.17902
-126315.0,7,4408.408803
-72326.0,6,4555.009225
-105020.0,9,4764.142284
-85268.0,6,4936.999602
-113534.0,9,5140.581494
-95329.0,6,5319.933755
-101943.0,9,5510.743475
-63807.0,6,5666.732718
-172353.0,8,5854.064311
-152575.0,6,6021.707803
-257004.0,9,6229.110871
-164372.0,8,6426.47064
-114244.0,8,6629.152787
-105119.0,8,6857.222143
-95573.0,12,7085.521561
-146824.0,8,7269.676969
-88396.0,10,7488.236054
-87675.0,8,7679.342005
-181347.0,8,7876.090076
-103896.0,7,8058.293083
-93316.0,6,8240.377125
-82834.0,8,8425.006515
-80839.0,7,8611.190282
-94859.0,10,8810.256865
-74356.0,8,8968.371599
-115947.0,13,9169.08511
-137223.0,9,9373.39433
-94768.0,9,9583.128683
-73838.0,8,9802.174775
-95967.0,11,10006.711139
-135303.0,8,10189.729783
-109499.0,11,10364.695831
-72208.0,8,10520.970201
-145423.0,8,10685.900838
-96706.0,8,10884.617374
-79173.0,18,11110.550621
-87029.0,8,11268.872987
-97408.0,12,11482.123601
-99304.0,9,11641.00399
-87645.0,9,11817.530235
-71836.0,8,11964.654788
-126489.0,8,12114.101344
-109606.0,7,12286.670583
-101153.0,8,12411.953406
-64520.0,9,12579.582975
-113797.0,8,12722.169344
-104465.0,7,12908.37819
-102408.0,8,13076.818769
-123637.0,10,13249.350135
-92842.0,11,13426.517774
-100309.0,10,13618.160913
-123666.0,11,13779.019162
-64812.0,16,13949.768591
-64507.0,10,14108.254596
-95208.0,13,14290.157501
-128602.0,8,14427.984564
-99734.0,12,14586.834028
